	attr_conc.max	attr_conc.mean	attr_conc.median	attr_conc.min	attr_conc.sd	attr_ent.max	attr_ent.mean	attr_ent.median	attr_ent.min	attr_ent.sd	attr_to_inst	cat_to_num	cor.max	cor.mean	cor.median	cor.min	cor.sd	cov.max	cov.mean	cov.median	cov.min	cov.sd	eigenvalues.max	eigenvalues.mean	eigenvalues.median	eigenvalues.min	eigenvalues.sd	g_mean.max	g_mean.mean	g_mean.median	g_mean.min	g_mean.sd	h_mean.max	h_mean.mean	h_mean.median	h_mean.min	h_mean.sd	inst_to_attr	iq_range.max	iq_range.mean	iq_range.median	iq_range.min	iq_range.sd	kurtosis.max	kurtosis.mean	kurtosis.median	kurtosis.min	kurtosis.sd	mad.max	mad.mean	mad.median	mad.min	mad.sd	max.max	max.mean	max.median	max.min	max.sd	mean.max	mean.mean	mean.median	mean.min	mean.sd	median.max	median.mean	median.median	median.min	median.sd	min.max	min.mean	min.median	min.min	min.sd	nr_attr	nr_bin	nr_cat	nr_cor_attr	nr_inst	nr_norm	nr_num	nr_outliers	num_to_cat	range.max	range.mean	range.median	range.min	range.sd	sd.max	sd.mean	sd.median	sd.min	sd.sd	skewness.max	skewness.mean	skewness.median	skewness.min	skewness.sd	sparsity.max	sparsity.mean	sparsity.median	sparsity.min	sparsity.sd	t_mean.max	t_mean.mean	t_mean.median	t_mean.min	t_mean.sd	var.max	var.mean	var.median	var.min	var.sd	id_experimento	reducao
1	0.9600862962864447	0.44238987205461866	0.30593792951348026	0.004897704043251461	0.352362595406592	8.595505334228818	6.065574511137499	6.320136602548934	1.5801317175225833	2.551591462755261	0.0215311004784689	8.0	1.0	0.007056975754737624	0.002398081534772198	5.27113151096948e-05	0.04394739958989399	0.7468130758551054	5.45206443780866e-05	5.73703716452683e-06	5.737037164526725e-06	0.0010331357183809985	10.19233553195983	0.011351408726708699	3.71039548916648e-18	-3.7918698189542554e-16	0.2587768418843885	9.296129982981164	0.005978218638573096	0.0	0.0	0.23574201477644202	8.859767384020993	0.005697599603872021	0.0	0.0	0.22467622735304293	46.44444444444444	3.0	0.0038585209003215433	0.0	0.0	0.08779014727128445	411.0143368970492	336.41564374537546	411.0143368970489	-1.6726189776439966	125.85937495441847	2.9652	0.0019068810289389066	0.0	0.0	0.07519497075609272	29.0	1.0180064308681671	1.0	1.0	0.710056381077363	9.751196172248804	0.01140325235772858	0.0023923444976076554	0.0023923444976076554	0.2476445240153678	9.0	0.005787781350482315	0.0	0.0	0.22823240820343815	3.0	0.0019292604501607716	0.0	0.0	0.07607746940114603	9	0	8	0.002127069651185407	418	0.0	1	1552	0.125	26.0	1.0160771704180065	1.0	1.0	0.6339789116762169	3.1736793744762126	0.06391724615207564	0.0489115988044522	0.04891159880445185	0.08526822411131309	20.298547530636053	17.861405673839357	20.298547530636043	0.5756434199392124	4.311629981046559	0.3317346123101519	0.046810631225510574	0.007429350637137348	0.00013963512734116524	0.10795816234446633	9.34920634920635	0.0064436278262644826	0.0	0.0	0.23728823744796707	10.072240771975725	0.011351408726708706	0.0023923444976076897	0.002392344497607656	0.25554074742445154	16	0.1
1	0.9476847951583282	0.426380752545058	0.27577958993027124	0.004469270149700963	0.34971538549256515	8.715988687640387	6.092610951794883	6.248143874258428	1.5843903977119314	2.580154457320679	0.0196078431372549	8.0	1.0	0.006466338485342846	0.0021834061135371295	0.0001294587600464414	0.042040014355348085	0.6622332581746924	4.635702056420971e-05	4.75687606435104e-06	4.756876064350955e-06	0.000861407362203351	8.776391158955784	0.009768169197052989	1.3497733938144482e-18	-2.4175165286316733e-16	0.21558299650755453	9.421418556254789	0.0056653148263708895	0.0	0.0	0.231030955138475	9.002823739942157	0.005413604173146216	0.0	0.0	0.2207662206241042	51.0	3.0	0.0036079374624173183	0.0	0.0	0.08489517984849038	452.0130576558878	371.82811270571597	452.0130576558875	-1.5893742099407555	138.1821522745113	2.9652	0.0017830426939266385	0.0	0.0	0.07271229741956495	23.0	1.0132291040288635	1.0	1.0	0.5394814998079147	9.840958605664488	0.0107176965795338	0.002178649237472767	0.002178649237472767	0.2416784021022473	10.0	0.006013229104028864	0.0	0.0	0.24521886354905212	4.0	0.0024052916416115455	0.0	0.0	0.09808754541962082	9	0	8	0.0019363900219472009	459	0.0	1	1660	0.125	19.0	1.010823812387252	1.0	1.0	0.44139395438829404	2.9439412944969425	0.06102928078824525	0.04667600280093363	0.04667600280093356	0.07776395323620668	21.284460658501576	18.770917584541742	21.28446065850157	0.643486013657855	4.547680261903152	0.3318777292576419	0.047052397753308745	0.00804295517333571	0.0001472529704478523	0.10803380130960864	9.577617328519855	0.00616301712142164	0.0	0.0	0.23504437116570548	8.666790345444333	0.009768169197052985	0.002178649237472764	0.0021786492374727576	0.21269337525416662	16	0.11
1	0.9481381419961603	0.4226458506180782	0.26369248158169745	0.004071630172842614	0.3493407181581296	8.836930266249098	6.175253652165797	6.413585946300895	1.576490088495053	2.629683638260216	0.017964071856287425	8.0	1.0	0.006004112791220379	0.0020000000000000135	6.564179575080183e-05	0.04009144221485973	0.6780279441117767	4.126007671545729e-05	3.99201596806387e-06	3.992015968057095e-06	0.0008311586434263795	11.099857006524685	0.010400070591888409	1.0091722829818637e-18	-1.352176637259943e-16	0.2628379515381387	9.334344390251603	0.005223471958730612	0.0	0.0	0.2208114267324354	8.85733891162641	0.004956541080932519	0.0	0.0	0.20952747834882768	55.666666666666664	3.0	0.003357582540570789	0.0	0.0	0.0819002155028653	494.011964095761	402.0486515132055	494.01196409576056	-1.739514389726476	152.91918132642763	2.9652	0.0016593172915500838	0.0	0.0	0.07014419172607457	24.0	1.012870733072188	1.0	1.0	0.5440835052272074	9.840319361277444	0.009973338158601654	0.001996007984031936	0.001996007984031936	0.23313533685737123	9.0	0.005036373810856184	0.0	0.0	0.21290224117586376	4.0	0.002238388360380526	0.0	0.0	0.0946232183003839	9	0	8	0.0017069904517571536	501	0.0	1	1784	0.125	20.0	1.0106323447118075	1.0	1.0	0.44946028692682327	3.317597187393972	0.059023324892626315	0.04467670516087688	0.044676705160876524	0.08318768075155618	22.249177520237186	19.499624331586734	22.24917752023717	0.5137565091483817	4.798147511479033	0.332	0.04642659308535666	0.007542857142857143	0.00014102564102564096	0.10810269200197128	9.39202657807309	0.005629435178764314	0.0	0.0	0.22236754607058123	11.006451097804394	0.010400070591888397	0.0019960079840319225	0.001996007984031891	0.2604731150088463	16	0.12
1	0.9387128261851384	0.41050492790563464	0.25990202908161253	0.0036682043928340405	0.3460727484846418	8.924551389630047	6.213144539907735	6.408401102018245	1.573199129829101	2.6651416768742364	0.016574585635359115	8.0	1.0	0.00560242863987101	0.0018450184501845413	0.00014840602224984329	0.038521214244251006	0.6588618648617427	3.6034664736440853e-05	3.3978240334890016e-06	3.397824033488908e-06	0.0007594257585651188	10.043388573189782	0.009244658412735605	1.071599032713991e-18	-1.9092874219127606e-16	0.2309397231195486	9.267010181279865	0.004887663597721447	0.0	0.0	0.21282393738194874	8.716629089247585	0.004597378211628473	0.0	0.0	0.2001840169787634	60.333333333333336	3.0	0.0031645569620253164	0.0	0.0	0.07951373541996919	536.0110395490577	435.1225800874059	536.0110395490575	-1.802618320178278	166.7237019261615	2.9652	0.0015639240506329112	0.0	0.0	0.06809807335700999	23.0	1.011603375527426	1.0	1.0	0.5052467333920879	9.760589318600369	0.009360600197371999	0.001841620626151013	0.001841620626151013	0.22451641412179982	9.0	0.004746835443037975	0.0	0.0	0.20669184547858133	1.0	0.0005274261603375527	0.0	0.0	0.02296576060873126	9	0	8	0.0016081627200160314	543	0.0	1	1893	0.125	22.0	1.0110759493670887	1.0	1.0	0.48228097278335647	3.15377025332132	0.05688408183527497	0.042914107542287305	0.042914107542286924	0.07753728489366563	23.173776135846463	20.273566352934836	23.17377613584644	0.44798577036288373	5.031466883396254	0.33210332103321033	0.046459322143220586	0.007262663535726266	0.00015467220540468877	0.10813731294503524	9.452599388379205	0.005338778564884708	0.0	0.0	0.2172778017244932	9.946266810734425	0.009244658412735602	0.001841620626151	0.0018416206261509674	0.22855463037411944	16	0.13
1	0.9269175650630035	0.39550554599617693	0.26283405560096695	0.003475330750569908	0.3349339948676944	9.013610207610974	6.212012793412237	6.382845195031891	1.5789408546148669	2.6717010274685338	0.015384615384615385	8.0	1.0	0.005380798935328535	0.0024236745185667037	0.00015596449901409673	0.03721142310766603	0.6526021543144828	3.4242638103483296e-05	5.8541154431565535e-06	2.9270577215782725e-06	0.0007370520419628696	10.777962214269978	0.009392920703974695	3.0637925762786506e-18	-1.8109597584926325e-16	0.24464517236217628	9.555747995645492	0.004912980974624931	0.0	0.0	0.21667304424158673	9.08633688170864	0.004671638499593131	0.0	0.0	0.20602932120662604	65.0	3.0	0.003084832904884319	0.0	0.0	0.07850680490862073	578.010247644094	461.846219362217	578.0102476440935	-1.734743248438078	183.13460719857946	2.9652	0.0015245244215938304	0.0	0.0	0.06723481103498415	25.0	1.0123393316195373	1.0	1.0	0.5441911050990214	10.042735042735043	0.009269439500801968	0.0017094017094017094	0.0017094017094017094	0.2280573035510155	10.0	0.005141388174807198	0.0	0.0	0.22674629379125907	3.0	0.0015424164524421595	0.0	0.0	0.06802388813737767	9	0	8	0.0014969268039819311	585	0.0	1	1942	0.125	22.0	1.010796915167095	1.0	1.0	0.476167216961644	3.269287243739022	0.05583650385042667	0.041344911529736614	0.04134491152973615	0.07923656686231288	24.06287986043133	20.84486148456035	24.06287986043132	0.5178931969706949	5.344303878685475	0.3321917808219178	0.04603696392283014	0.007562785388127854	0.0001600307258993727	0.10816335796070549	9.68091168091168	0.005320091695413032	0.0	0.0	0.21968570590683925	10.688239082074691	0.00939292070397471	0.0017094017094017473	0.0017094017094017094	0.24247137435635005	16	0.14
1	0.9239546257632184	0.3881017795342572	0.23595173969642846	0.003207871262143839	0.3354358192883992	9.118277992293116	6.2246367683896775	6.320542390367841	1.5826390606404066	2.7125715835295323	0.01437699680511182	8.0	1.0	0.005038644075366556	0.0022645540682891675	0.00019972371621835476	0.036037727765400505	0.6038696485623006	3.0105960526603002e-05	5.1118210862619445e-06	2.555910543130942e-06	0.0006471980880078047	9.662253286423198	0.008374009919901709	2.795960006997122e-18	-3.2721316543393914e-16	0.21375285714923298	9.387309287429634	0.004581410096354141	0.0	0.0	0.2073815651089294	8.873894994621393	0.004330841871459929	0.0	0.0	0.19603937361062182	69.55555555555556	3.0	0.0029282576866764276	0.0	0.0	0.07649049692647165	619.0095770090539	495.7656566177536	619.0095770090533	-1.6609688485243923	194.791505929755	1.4826	0.0007235724743777452	0.0	0.0	0.03275314565827907	23.0	1.010736944851147	1.0	1.0	0.48601726998660433	9.849840255591054	0.00870603130647382	0.001597444089456869	0.001597444089456869	0.21794948032731157	9.0	0.004392386530014641	0.0	0.0	0.19882524681270167	1.0	0.0004880429477794046	0.0	0.0	0.022091694090300196	9	0	8	0.0014407752257198634	626	0.0	1	2046	0.125	22.0	1.0102489019033676	1.0	1.0	0.46392557589630407	3.0947400495745714	0.053905353745364044	0.039968038348872026	0.03996803834887158	0.07396548376190175	24.900215584760247	21.603474163820973	24.900215584760225	0.5845312694279068	5.502447663437139	0.33226666666666665	0.04642445163489511	0.007760747663551402	0.0001479930191972077	0.10813989587126273	9.470744680851064	0.0049479247790826875	0.0	0.0	0.20939410769379876	9.577415974440822	0.008374009919901679	0.0015974440894569052	0.0015974440894568692	0.2117313676940253	16	0.15
1	0.9203864980357693	0.38754389126843936	0.2362505677917598	0.0031252311507498315	0.3351356630760921	9.190561253538943	6.296923683073744	6.412458762937099	1.5802826842608655	2.751162385826145	0.01347305389221557	8.0	1.0	0.004734308432842638	0.002121851403330499	0.00010170060426908717	0.034626135207996525	0.6157677149449229	2.7191424821023805e-05	4.488773577283213e-06	2.2443867886416067e-06	0.0006283818020491944	10.91938007265027	0.008468589368334615	7.96061578653612e-19	-4.838378190867587e-16	0.2343819860121531	9.416508212082627	0.004329429063026496	0.0	0.0	0.20191112977153622	8.936038412464441	0.0041085234080296285	0.0	0.0	0.19160877587590303	74.22222222222223	3.0	0.002758620689655172	0.0	0.0	0.07424396083364455	661.0089753128481	526.0302998123021	661.0089753128474	-1.7198169298561738	208.35475704645302	2.9652	0.0013633103448275861	0.0	0.0	0.06358056176602059	29.0	1.0128735632183907	1.0	1.0	0.6003830195091648	9.911676646706587	0.008228370844517864	0.0014970059880239522	0.0014970059880239522	0.21286857986689434	9.0	0.004137931034482759	0.0	0.0	0.19298025627080317	3.0	0.001379310344827586	0.0	0.0	0.0643267520902677	9	0	8	0.0013416658735949413	668	0.0	1	2172	0.125	26.0	1.0114942528735633	1.0	1.0	0.5360562674188976	3.2923037149324252	0.05238454697923318	0.03869116162670671	0.038691161626706334	0.07567748507415062	25.729738323561346	22.24855721347233	25.72973832356133	0.5317432901881998	5.679581104537538	0.33233383308345826	0.046382413430767176	0.007523265394329862	0.00015612028696395598	0.10824623019717032	9.519900497512438	0.0046846228626980044	0.0	0.0	0.20429619545682054	10.839263751357848	0.00846858936833461	0.0014970059880239418	0.001497005988023913	0.2325391989941106	16	0.16
1	0.9217583988887312	0.38234600774652233	0.22200069726249036	0.0028693299950982515	0.33431022534799826	9.29521857704677	6.319940077847713	6.341695213218641	1.5838280388991792	2.78164338428387	0.01267605633802817	8.0	1.0	0.00446546526784585	0.001996067628140441	0.00019851926418631554	0.03358117416771335	0.6992391585053331	2.448119967216052e-05	3.973062635332429e-06	1.9865313176662053e-06	0.0006339171193288924	10.291154231979846	0.007788886354895923	1.6300225492454128e-18	-2.6775721179918203e-16	0.21567815710877994	9.403093266315624	0.004120549196457329	0.0	0.0	0.19683980390848338	8.922216280641946	0.003909823085294454	0.0	0.0	0.18677335780577461	78.88888888888889	3.0	0.0026292725679228747	0.0	0.0	0.07248402858014699	703.0084447530253	560.4229538037495	703.0084447530251	-1.6204161165400246	221.17766329879132	2.9652	0.0012993865030674846	0.0	0.0	0.06207206182249551	23.0	1.0096406660823838	1.0	1.0	0.4605373533302649	9.885915492957746	0.007831035291503623	0.0014084507042253522	0.0014084507042253522	0.20728366412095944	9.0	0.003943908851884312	0.0	0.0	0.18840164454419928	3.0	0.0013146362839614374	0.0	0.0	0.06280054818139975	9	0	8	0.001266031435233943	710	0.0	1	2279	0.125	20.0	1.0083260297984225	1.0	1.0	0.3977368051488652	3.1928514906975574	0.05080855732822183	0.03752933125204005	0.03752933125203996	0.07217797304615212	26.5333429116184	22.96438791339518	26.53334291161839	0.6179483888435074	5.855285336361558	0.3323930418429713	0.046691839858509616	0.007776814482214256	0.00013019420635781694	0.10818644351893832	9.47887323943662	0.004445898293647365	0.0	0.0	0.1985850312997114	10.194300641649614	0.007788886354895917	0.0014084507042253496	0.001408450704225343	0.21353846574081115	16	0.17
1	0.9292817552289228	0.3837852035089822	0.21321676993753375	0.0027988373608220764	0.3386952733313151	9.366059014562188	6.402689938566534	6.460617046937245	1.5803491704280554	2.7872264542418357	0.011968085106382979	8.0	1.0	0.004197614233043819	0.0018843622601255963	0.00010080070272030248	0.03269437063418893	0.7037850242230214	2.199282427491251e-05	3.5413774541745488e-06	1.770688727087265e-06	0.0006053282076246413	10.562931005293226	0.0074536432813946075	1.1132907900035328e-18	-6.292770076781622e-16	0.2148632550982214	9.259522670671434	0.003823089459401913	0.0	0.0	0.1881488334307099	8.746528366437918	0.003611283388289809	0.0	0.0	0.177725047742075	83.55555555555556	3.0	0.002477291494632535	0.0	0.0	0.07035971847516347	745.0079734184026	597.8437477030419	745.0079734184022	-1.7118987851010288	233.11360557485997	2.9652	0.0012242774566473987	0.0	0.0	0.06025136939896773	23.0	1.0090834021469859	1.0	1.0	0.4470289109595611	9.768617021276595	0.00733194827555915	0.0013297872340425532	0.0013297872340425532	0.19882773232495332	9.0	0.0037159372419488025	0.0	0.0	0.18287546357436593	3.0	0.0012386457473162675	0.0	0.0	0.060958487858121954	9	0	8	0.0011549096793096192	752	0.0	1	2419	0.125	20.0	1.0078447563996698	1.0	1.0	0.38607042310143913	3.2350731395099697	0.04923137717731166	0.036466247874473674	0.03646624787447364	0.07093653784392565	27.313316642682555	23.7239362975651	27.31331664268255	0.5388621098190297	6.019753832482452	0.3324456280514869	0.04663422720844863	0.007375673015689227	0.00013452049292987588	0.10824323864136957	9.41150442477876	0.0041617035580921195	0.0	0.0	0.19139829430828403	10.465698217978892	0.007453643281394627	0.0013297872340425558	0.0013297872340425532	0.21278527333431105	16	0.18
1	0.9230136850088875	0.3706167852241463	0.22567633908085838	0.0026100543128233728	0.32790563588268984	9.436928505871311	6.383773135473177	6.445036179598139	1.5722032619972706	2.8116683796831174	0.011349306431273645	8.0	1.0	0.004106284106432098	0.001786751540810101	4.6511707195576875e-05	0.03186861241815414	0.7084591182951837	2.1451835378314644e-05	3.1844294139376136e-06	1.5922147069613142e-06	0.0006029629069143064	11.139127240455919	0.007587504293791239	9.627901665944088e-19	-1.0716722226975819e-16	0.22502793633484233	9.352141435964917	0.0038094262468288866	0.0	0.0	0.1887492862244007	8.842791171261288	0.0036019515972551073	0.0	0.0	0.17846934129849293	88.11111111111111	3.0	0.002443991853360489	0.0	0.0	0.06988562098113199	786.0075614336675	620.2413639336114	786.0075614336668	-1.7982638090515408	251.00726994109533	2.9652	0.0012078207739307535	0.0	0.0	0.059845051247864024	27.0	1.010590631364562	1.0	1.0	0.5247441428721382	9.870113493064313	0.007275473016182843	0.0012610340479192938	0.0012610340479192938	0.1995385663710179	9.0	0.0036659877800407333	0.0	0.0	0.18164220330189398	3.0	0.0012219959266802445	0.0	0.0	0.06054740110063133	9	0	8	0.001130703104121954	793	0.0	1	2452	0.125	24.0	1.009368635437882	1.0	1.0	0.464196741771507	3.323398393368188	0.04872186967274043	0.035511041211421554	0.03551104121142104	0.07222055299478383	28.053812118287293	24.120261085492388	28.053812118287272	0.4516625889129064	6.299779949174183	0.3324915824915825	0.04643664911391562	0.007368948101706723	0.00012995040811452496	0.10824006105194656	9.454926624737945	0.004123702536644934	0.0	0.0	0.19099458498010516	11.044976881042253	0.007587504293791137	0.0012610340479192802	0.0012610340479192433	0.22303338854688565	16	0.19
