id,name,guard_name,created_at,updated_at
20,"read dashboard",web,"2020-02-11 16:53:53","2020-02-11 16:53:53"
21,"create schedules",web,"2020-02-11 16:53:57","2020-02-11 16:53:57"
22,"read schedules",web,"2020-02-11 16:54:03","2020-02-11 16:54:03"
23,"edit schedules",web,"2020-02-11 16:54:13","2020-02-11 16:54:13"
24,"delete schedules",web,"2020-02-11 16:54:22","2020-02-11 16:54:22"
25,"create holidays",web,"2020-02-11 16:54:34","2020-02-11 16:54:34"
26,"read holidays",web,"2020-02-11 16:54:41","2020-02-11 16:54:41"
27,"edit holidays",web,"2020-02-11 16:54:49","2020-02-11 16:54:49"
28,"delete holidays",web,"2020-02-11 16:54:56","2020-02-11 16:54:56"
29,"create nlp",web,"2020-02-11 16:55:06","2020-02-11 16:55:06"
30,"read nlp",web,"2020-02-11 16:55:13","2020-02-11 16:55:13"
31,"edit nlp",web,"2020-02-11 16:55:23","2020-02-11 16:55:23"
32,"delete nlp",web,"2020-02-11 16:55:30","2020-02-11 16:55:30"
33,"create channels",web,"2020-02-11 16:55:42","2020-02-11 16:55:42"
34,"edit channels",web,"2020-02-11 16:56:03","2020-02-11 16:56:03"
35,"read channels",web,"2020-02-11 16:56:41","2020-02-11 16:56:41"
36,"delete channels",web,"2020-02-11 16:56:47","2020-02-11 16:56:47"
37,"create customers",web,"2020-02-11 16:56:59","2020-02-11 16:56:59"
38,"read customers",web,"2020-02-11 16:57:06","2020-02-11 16:57:06"
39,"edit customers",web,"2020-02-11 16:57:13","2020-02-11 16:57:13"
40,"delete customers",web,"2020-02-11 16:57:19","2020-02-11 16:57:19"
41,"create answers",web,"2020-02-11 16:57:28","2020-02-11 16:57:28"
42,"read answers",web,"2020-02-11 16:57:35","2020-02-11 16:57:35"
43,"edit answers",web,"2020-02-11 16:57:42","2020-02-11 16:57:42"
44,"delete answers",web,"2020-02-11 16:57:51","2020-02-11 16:57:51"
45,"create intents",web,"2020-02-11 16:57:59","2020-02-11 16:57:59"
46,"read intents",web,"2020-02-11 16:58:05","2020-02-11 16:58:05"
