	attr_conc.max	attr_conc.mean	attr_conc.median	attr_conc.min	attr_conc.sd	attr_ent.max	attr_ent.mean	attr_ent.median	attr_ent.min	attr_ent.sd	attr_to_inst	cat_to_num	cor.max	cor.mean	cor.median	cor.min	cor.sd	cov.max	cov.mean	cov.median	cov.min	cov.sd	eigenvalues.max	eigenvalues.mean	eigenvalues.median	eigenvalues.min	eigenvalues.sd	g_mean.max	g_mean.mean	g_mean.median	g_mean.min	g_mean.sd	h_mean.max	h_mean.mean	h_mean.median	h_mean.min	h_mean.sd	inst_to_attr	iq_range.max	iq_range.mean	iq_range.median	iq_range.min	iq_range.sd	kurtosis.max	kurtosis.mean	kurtosis.median	kurtosis.min	kurtosis.sd	mad.max	mad.mean	mad.median	mad.min	mad.sd	max.max	max.mean	max.median	max.min	max.sd	mean.max	mean.mean	mean.median	mean.min	mean.sd	median.max	median.mean	median.median	median.min	median.sd	min.max	min.mean	min.median	min.min	min.sd	nr_attr	nr_bin	nr_cat	nr_cor_attr	nr_inst	nr_norm	nr_num	nr_outliers	num_to_cat	range.max	range.mean	range.median	range.min	range.sd	sd.max	sd.mean	sd.median	sd.min	sd.sd	skewness.max	skewness.mean	skewness.median	skewness.min	skewness.sd	sparsity.max	sparsity.mean	sparsity.median	sparsity.min	sparsity.sd	t_mean.max	t_mean.mean	t_mean.median	t_mean.min	t_mean.sd	var.max	var.mean	var.median	var.min	var.sd	id_experimento	reducao
1	1.0000000000027374	0.5408246490692398	0.7034157071831824	0.005875068071358095	0.39886100083072584	6.285402218862252	3.7207686847063353	4.408116914240384	0.4770713062193297	2.3845723408420274	0.1794871794871795	1.8	1.0	0.029011019808003302	0.012987012987013016	8.404020532057385e-18	0.10279832298033006	1.143856143856144	0.0008666014825669093	0.00016650016650016674	7.717584295387994e-19	0.006193884030354236	19.003393980317163	0.06732867403599109	5.364597415605994e-18	-3.0747118030413036e-15	0.8930526718158455	1.6129106349765787	0.0032782736483263795	0.0	0.0	0.07271562714952738	1.4311926605504584	0.002908928171850525	0.0	0.0	0.06452314816886208	5.571428571428571	6.0	0.024390243902439025	0.0	0.0	0.31817746355772913	71.07642998027622	65.52847684990257	71.07642998027619	-1.7464397301779426	15.739218321743888	2.9652	0.009040243902439024	0.0	0.0	0.14933869570533598	16.0	1.0548780487804879	1.0	1.0	0.793966931397398	3.6794871794871793	0.03311965811965812	0.01282051282051282	0.01282051282051282	0.20945740995225226	2.0	0.01016260162601626	0.0	0.0	0.11896692956310995	1.0	0.0020325203252032522	0.0	0.0	0.045083481733371594	14	2	9	0.01256768168496349	78	0.0	5	490	0.5555555555555556	16.0	1.0528455284552845	1.0	1.0	0.7902486348022678	4.334978811025644	0.13740946044067595	0.11322770341445955	0.11322770341445951	0.22033153409906436	8.494981030530994	8.055878674574837	8.494981030530994	-1.1717942666256467	1.3360289274631851	0.49350649350649356	0.13035728370023542	0.015030228392297361	0.0	0.19053200930589023	2.5416666666666665	0.014142953929539296	0.0	0.0	0.16032811740217862	18.792041292041308	0.06732867403599119	0.012820512820512813	0.012820512820512804	0.882212306495227	39	0.1
1	1.0000000000066287	0.3921957629950872	0.16387820253772345	6.573681439362724e-05	0.4090104119532623	6.426264754702096	3.759856332341241	4.294969412464331	0.5516699920020824	2.4343477195090375	0.16279069767441862	1.8	1.0	0.0268297730891007	0.01176470588235293	0.0014508532347102992	0.09797960304015212	1.9570451436388512	0.0007910053047658181	0.00013679890560875505	0.0001367989056087549	0.007417030996642473	25.999637881825706	0.07531846057018614	3.1427699187768027e-18	-2.3714800655034664e-15	1.1535525515824971	1.6435167868691873	0.0031245566290288734	0.0	0.0	0.07166073730664756	1.4373259052924785	0.0027325587553088944	0.0	0.0	0.06267038763833556	6.142857142857143	7.0	0.02423954372623574	0.0	0.0	0.34157463332126026	79.06936181719848	72.21686988410592	79.06936181719847	-1.9695636213980052	18.167912708498868	4.4478	0.011274524714828897	0.0	0.0	0.2043067961885294	19.0	1.05893536121673	1.0	1.0	0.8849783465764052	4.372093023255814	0.03240781678309311	0.011627906976744186	0.011627906976744186	0.22466915597315812	3.0	0.011406844106463879	0.0	0.0	0.15075403452146002	1.0	0.0019011406844106464	0.0	0.0	0.04360207201969473	14	2	9	0.01149375339489408	86	0.0	5	524	0.5555555555555556	19.0	1.0570342205323193	1.0	1.0	0.8818691981446273	5.0736841507757555	0.13343097787895936	0.10783277320343843	0.10783277320343841	0.24005038303993056	8.952627914797098	8.440091638118652	8.952627914797098	-1.4918839758913656	1.462270971335225	0.49411764705882355	0.1252672657100075	0.02114920834644018	0.0	0.1852485748005116	3.019230769230769	0.014148873939748462	0.0	0.0	0.1686517484986489	25.742270861833095	0.07531846057018617	0.011627906976744188	0.011627906976744186	1.140797129528976	39	0.11
1	1.0000000000090135	0.3838047207549787	0.22662066553938834	0.000280955487440683	0.39198130230424055	6.539158811108032	3.799616567997382	4.196096544630274	0.49241092131589836	2.472864115832245	0.15053763440860216	1.8	1.0	0.024788707340248958	0.010869565217391292	0.002196026152894746	0.09444544599807536	1.6817438055165967	0.0006502448332700102	0.00011687704534829356	0.00011687704534829336	0.006453141509024398	18.603453114637915	0.05513003500529455	3.520690393436646e-18	-7.314693507474401e-16	0.8005036599975112	1.4711298546733609	0.002599169354546574	0.0	0.0	0.061836200035461045	1.3191489361702127	0.0023306518306894218	0.0	0.0	0.05544796554461768	6.642857142857143	6.0	0.022968197879858657	0.0	0.0	0.2995613708675381	86.06416926812348	78.7285855283888	86.06416926812342	-1.8110743965938667	19.611520167403377	4.4478	0.01047773851590106	0.0	0.0	0.19696318518370004	17.0	1.0459363957597174	1.0	1.0	0.7392960700106428	3.78494623655914	0.028306546601314635	0.010752688172043012	0.010752688172043012	0.19338632150612964	3.0	0.01060070671378092	0.0	0.0	0.14534911137152104	1.0	0.0017667844522968198	0.0	0.0	0.042033135170919854	14	2	9	0.010725788798899278	93	0.0	5	563	0.5555555555555556	17.0	1.0441696113074206	1.0	1.0	0.7358046101231174	4.270346341634697	0.12578417101944422	0.10369516947304261	0.10369516947304253	0.19843878067428192	9.334795256218408	8.81274237828771	9.334795256218406	-0.7468619874189592	1.4886203876353206	0.4945652173913043	0.13189648614810964	0.01867892976588629	0.0	0.1906849238320175	2.6666666666666665	0.011902547889157523	0.0	0.0	0.1466403916679296	18.235857877512846	0.05513003500529458	0.010752688172043029	0.010752688172043012	0.7854915555855766	39	0.12
1	1.000000000009096	0.3920217184741385	0.2219875898104376	0.000836996215712526	0.4025372229425522	6.658211482751796	3.7966052404884274	4.291119141806202	0.5538976334852962	2.529552966314976	0.13861386138613863	1.8	1.0	0.02304131503565187	0.009999999999999998	0.0006147007211644013	0.09073155908953814	1.332079207920792	0.0005640346672396787	9.900990099009883e-05	9.900990099009384e-05	0.005457648173937746	20.752837251403015	0.0537059405940593	1.3656091272838117e-18	-3.0496659028920095e-15	0.8565043023117296	1.3881926516388368	0.0023136544193980615	0.0	0.0	0.05667272768660519	1.254658385093168	0.0020910973084886137	0.0	0.0	0.05122121408304369	7.214285714285714	6.0	0.018333333333333333	0.0	0.0	0.27347492837486637	94.05911185177929	85.92703460689033	94.05911185177925	-1.9053756381319815	21.803938479105515	1.4826	0.004941999999999999	0.0	0.0	0.08552647035402958	19.0	1.0466666666666666	1.0	1.0	0.7930134547752935	3.504950495049505	0.02589108910891089	0.009900990099009901	0.009900990099009901	0.17296874813181523	1.0	0.006666666666666667	0.0	0.0	0.08144493652174213	1.0	0.0016666666666666668	0.0	0.0	0.040824829046386304	14	2	9	0.009510294936004452	101	0.0	5	598	0.5555555555555556	19.0	1.045	1.0	1.0	0.7899462165500485	4.529070020161393	0.12096234268246434	0.09950371902099883	0.09950371902099871	0.19783650923799473	9.75333483473159	9.192931789290093	9.753334834731582	-1.7467414989570456	1.6009595400520418	0.495	0.13236559926117758	0.015683210784313728	0.0	0.19110288887994173	2.1639344262295084	0.01005464480874317	0.0	0.0	0.12192211915745414	20.512475247524726	0.05370594059405932	0.009900990099009884	0.009900990099009861	0.8458943693587686	39	0.13
1	1.0000000000079299	0.5246267439646582	0.6662360385387847	0.005673622504107288	0.4010428722877369	6.768184324776926	3.9506073956310073	4.598200625823457	0.687644533458058	2.5611168952620456	0.12844036697247707	1.8	1.0	0.021231653995623878	0.009259259259259287	0.00011409786692959022	0.08753216147229306	1.2501698946653077	0.0004916175796483462	8.494733265375487e-05	8.494733265374961e-05	0.005171687387485003	20.785820745009097	0.05202805982345326	1.9921392604346577e-18	-4.8464246037111215e-15	0.8296508109343381	1.5829848819593468	0.0023912158337754483	0.0	0.0	0.06152445460439573	1.4034334763948497	0.0021199901456115553	0.0	0.0	0.05454599105322453	7.785714285714286	5.0	0.01812688821752266	0.0	0.0	0.24532690636263482	102.05479336756167	93.36645978711859	102.05479336756164	-1.9913083273536014	23.02502125376473	2.9652	0.006718731117824774	0.0	0.0	0.12877069316680642	19.0	1.0453172205438066	1.0	1.0	0.7862668486669692	3.669724770642202	0.025000692923861527	0.009174311926605505	0.009174311926605505	0.18041255572702147	2.0	0.0075528700906344415	0.0	0.0	0.10262983474432395	1.0	0.0015105740181268882	0.0	0.0	0.03886610371682358	14	2	9	0.009036020677267347	109	0.0	5	659	0.5555555555555556	19.0	1.0438066465256797	1.0	1.0	0.7834614293454045	4.529849653852806	0.11651426213892264	0.09578262852211512	0.09578262852211508	0.19624133036571442	10.154716102766635	9.587893936458372	10.154716102766633	-1.0442922860281265	1.606163218601084	0.49537037037037035	0.131194073688319	0.01597222222222222	0.0	0.19164000764848008	2.4477611940298507	0.010664201650358479	0.0	0.0	0.13653318914272278	20.51953788651039	0.052028059823453314	0.009174311926605502	0.009174311926605495	0.8188128404407043	39	0.14
1	1.000000000013858	0.4841869810132657	0.6115464480113242	0.00015181296338243218	0.4110214030835557	6.870364719583401	3.9135738407275724	4.441402889213723	0.5032583347756457	2.6076330218389563	0.11965811965811966	1.8	1.0	0.01998787171320333	0.008620689655172405	0.0005553970157638008	0.08444325260132109	1.2911140583554377	0.00042448209420495867	7.368110816386662e-05	7.368110816386636e-05	0.004545993045410078	21.179297189106634	0.048576489545410016	1.1693545600914561e-18	-6.256570376527208e-15	0.8198643969104262	1.5175000683305182	0.002202467443150244	0.0	0.0	0.0578121483381844	1.347408829174665	0.0019556006228950147	0.0	0.0	0.05133218820222082	8.357142857142858	5.0	0.015965166908563134	0.0	0.0	0.23755165645090034	110.05106289721684	99.80735927210787	110.05106289721681	-1.7596469408903561	25.46865237298412	2.9652	0.00645544267053701	0.0	0.0	0.12622539641733033	25.0	1.0493468795355587	1.0	1.0	0.9556458656260008	3.4615384615384617	0.022701053180008184	0.008547008547008548	0.008547008547008548	0.16411393768962063	2.0	0.00725689404934688	0.0	0.0	0.10060655818116421	1.0	0.001451378809869376	0.0	0.0	0.03809696588797297	14	2	9	0.008590137374692004	117	0.0	5	687	0.5555555555555556	25.0	1.0478955007256894	1.0	1.0	0.9534358374011193	4.577942734645949	0.11241365463728609	0.09245003270420478	0.09245003270420468	0.18971530690513658	10.540884070718745	9.904734503014225	10.540884070718743	-1.3791740464144184	1.68710599504899	0.4956896551724138	0.1317052419213821	0.013970588235294118	0.0	0.19163074831701463	2.1267605633802815	0.008994460230176414	0.0	0.0	0.11744117307880621	20.957559681697628	0.048576489545410016	0.008547008547008534	0.008547008547008515	0.8110577239265828	39	0.15
1	1.0000000000167684	0.44082804215412946	0.41618623232657215	4.297735397855655e-06	0.4059856787969793	6.965784284662089	3.982817193695056	4.631954486300716	0.4815485438118001	2.6409415838624666	0.112	1.8	1.0	0.018933019150610946	0.008064516129032305	0.00044002825212885243	0.08211442554239236	1.0681935483870963	0.0003924973991281866	6.45161290322582e-05	6.451612903225808e-05	0.004163184748137788	23.963499375665588	0.04982586823176383	1.125761003766419e-18	-3.919320476036668e-15	0.8971644668238652	1.5155775768117803	0.0020732935387302058	0.0	0.0	0.056055661600308004	1.348920863309353	0.0018453089785353666	0.0	0.0	0.04989164038592465	8.928571428571429	6.0	0.017783857729138167	0.0	0.0	0.26371635304310914	118.04780800000017	106.66547323412023	118.04780800000009	-1.7920188398268406	27.774899999565964	2.9652	0.006084541723666211	0.0	0.0	0.12254968785595119	25.0	1.0465116279069768	1.0	1.0	0.9278186264738008	3.832	0.021953488372093027	0.008	0.008	0.16962635173689264	2.0	0.006839945280437756	0.0	0.0	0.09768414485275202	1.0	0.0013679890560875513	0.0	0.0	0.03698633607276546	14	2	9	0.00791559694919701	125	0.0	5	728	0.5555555555555556	25.0	1.0451436388508892	1.0	1.0	0.9256691470231551	4.8770959100810245	0.10967278116331695	0.08944271909999148	0.08944271909999132	0.194549549067684	10.9134428137046	10.230769455541179	10.91344281370459	-1.104792913325087	1.7726545721294318	0.4959677419354839	0.13155045803434462	0.01396042287882895	0.0	0.1919074794082589	2.3733333333333335	0.008682170542635658	0.0	0.0	0.11917120847021032	23.786064516129056	0.04982586823176383	0.00799999999999998	0.007999999999999953	0.8900122156423712	39	0.16
1	1.0000000000096965	0.4928275048155616	0.5947592809417839	0.0004588174168708677	0.4123204588321386	7.044394119358453	4.066642112653935	4.649812041564605	0.5541045423898253	2.659944781175624	0.10606060606060606	1.8	1.0	0.017730320235998596	0.0076335877862595885	0.0004274976206750531	0.07981786791786709	1.281286143881564	0.0003415154358885433	5.78302105019664e-05	5.783021050196606e-05	0.004044922079820594	19.714443577055135	0.04194961897389159	1.2435611537537589e-18	-2.030105061518392e-15	0.723661831371122	1.4059850461361667	0.0018048588525496363	0.0	0.0	0.05037464200439809	1.2712680577849125	0.0016319230523554717	0.0	0.0	0.045547904992681805	9.428571428571429	5.25	0.014441591784338896	0.0	0.0	0.23068031745070847	125.04528236914618	113.52212844299692	125.04528236914607	-1.9563485721401084	28.547552193774518	2.9652	0.005709627727856226	0.0	0.0	0.118718080639319	20.0	1.0397946084724006	1.0	1.0	0.7569441737550339	3.515151515151515	0.02045162796125569	0.007575757575757576	0.007575757575757576	0.157239218779169	2.0	0.006418485237483954	0.0	0.0	0.09463709315478461	1.0	0.0012836970474967907	0.0	0.0	0.03582871819500093	14	2	9	0.007791282080051216	132	0.0	5	777	0.5555555555555556	20.0	1.0385109114249038	1.0	1.0	0.7544594693017586	4.412828018618681	0.10541289491327431	0.08703882797784883	0.08703882797784869	0.17571959981333246	11.229327579263392	10.561548633414564	11.229327579263389	-1.2368087608510254	1.7646612061854965	0.4961832061068702	0.13080740046553696	0.013727628455962537	0.0	0.19219916936340634	2.2375	0.008183568677792042	0.0	0.0	0.11292417747408799	19.473051121906074	0.04194961897389162	0.00757575757575756	0.007575757575757537	0.7147377874994794	39	0.17
1	1.0000000000193618	0.3663447203789906	0.21875429839506122	0.0009652006724568888	0.37184139580883596	7.129283016944969	4.104581276089387	4.688773950850237	0.5127091420308771	2.639134987658484	0.1	1.8	1.0	0.01695828441696556	0.0071942446043165315	0.00042159451427974717	0.07800393896745396	1.6356628982528267	0.0003280212307338841	5.138746145940387e-05	5.138746145940339e-05	0.004567879261798295	21.11759603437673	0.0431138896052503	2.586282764955879e-18	-7.914980194045981e-16	0.7646830384739051	1.5212675734190773	0.0018804296333981177	0.0	0.0	0.053484919607164776	1.3570274636510504	0.0016774134284932639	0.0	0.0	0.047710544855015295	10.0	7.0	0.018541409147095178	0.0	0.0	0.2958497554511193	133.04270408163265	120.74852517284891	133.04270408163262	-1.6637403628117908	31.03752936261951	2.9652	0.006414215080346106	0.0	0.0	0.1302361632800169	18.0	1.03831891223733	1.0	1.0	0.7156421627460232	3.9642857142857144	0.02048384248631467	0.007142857142857143	0.007142857142857143	0.17137530996487355	2.0	0.006798516687268232	0.0	0.0	0.10081725550568242	1.0	0.0012360939431396785	0.0	0.0	0.035158127696731496	14	2	9	0.0071962696887735746	140	0.0	5	806	0.5555555555555556	18.0	1.0370828182941905	1.0	1.0	0.713108794494996	4.5588252845808865	0.10323177265624728	0.08451542547285176	0.08451542547285165	0.18026996529159034	11.579820653001716	10.879259064902584	11.579820653001713	-1.0169936392645829	1.8776640867377745	0.49640287769784175	0.13010412848078173	0.013612639300324447	0.0	0.1925113395780702	2.738095238095238	0.008814527046912709	0.0	0.0	0.1295880994772059	20.782887975334	0.043113889605250255	0.00714285714285716	0.007142857142857143	0.753507098708808	39	0.18
1	1.0000000000205045	0.35707906215870105	0.1432205743650018	0.0008821898636999245	0.37853505798418174	7.209453365628951	4.1211527589731265	4.638676399368192	0.5340042729285396	2.7148894079310657	0.0945945945945946	1.8	1.0	0.01586709714842348	0.006802721088435385	2.2762461568965837e-18	0.07556529354012549	1.6054421768707494	0.00027959335042051153	4.596433167861731e-05	4.720335989052536e-19	0.004112190075926063	22.364282849127925	0.03992670292504178	1.3061502420891103e-18	-6.41097614306978e-16	0.7706860155780502	1.557365896652616	0.0018108905775030418	0.0	0.0	0.05310573630007215	1.3767441860465126	0.001600865332612224	0.0	0.0	0.04694658708913032	10.571428571428571	6.0	0.013953488372093023	0.0	0.0	0.23098855768831428	141.04040357925507	128.50203545677192	141.04040357925493	-1.9778385434648038	32.20808791187582	5.9304	0.008619767441860464	0.0	0.0	0.20839161381338167	25.0	1.041860465116279	1.0	1.0	0.8768746910554093	4.22972972972973	0.01903676932746701	0.006756756756756757	0.006756756756756757	0.1668528811040717	4.0	0.00813953488372093	0.0	0.0	0.14850055073652083	1.0	0.0011627906976744186	0.0	0.0	0.03409971697352368	14	2	9	0.007017353872810461	148	0.0	5	857	0.5555555555555556	25.0	1.0406976744186047	1.0	1.0	0.8749359407087062	4.699246711372815	0.09954947176811538	0.08219949365267852	0.08219949365267838	0.17335382677535127	11.920037383606688	11.228550702814747	11.920037383606685	-0.9494800088807446	1.884376832728475	0.4965986394557823	0.13151542721843706	0.014714793963562435	0.0	0.19237844862480252	3.1	0.008229974160206717	0.0	0.0	0.12899596775795147	22.082919654348224	0.03992670292504179	0.006756756756756737	0.006756756756756713	0.7611485094708776	39	0.19
