	attr_conc.max	attr_conc.mean	attr_conc.median	attr_conc.min	attr_conc.sd	attr_ent.max	attr_ent.mean	attr_ent.median	attr_ent.min	attr_ent.sd	attr_to_inst	cat_to_num	cor.max	cor.mean	cor.median	cor.min	cor.sd	cov.max	cov.mean	cov.median	cov.min	cov.sd	eigenvalues.max	eigenvalues.mean	eigenvalues.median	eigenvalues.min	eigenvalues.sd	g_mean.max	g_mean.mean	g_mean.median	g_mean.min	g_mean.sd	h_mean.max	h_mean.mean	h_mean.median	h_mean.min	h_mean.sd	inst_to_attr	iq_range.max	iq_range.mean	iq_range.median	iq_range.min	iq_range.sd	kurtosis.max	kurtosis.mean	kurtosis.median	kurtosis.min	kurtosis.sd	mad.max	mad.mean	mad.median	mad.min	mad.sd	max.max	max.mean	max.median	max.min	max.sd	mean.max	mean.mean	mean.median	mean.min	mean.sd	median.max	median.mean	median.median	median.min	median.sd	min.max	min.mean	min.median	min.min	min.sd	nr_attr	nr_bin	nr_cat	nr_cor_attr	nr_inst	nr_norm	nr_num	nr_outliers	num_to_cat	range.max	range.mean	range.median	range.min	range.sd	sd.max	sd.mean	sd.median	sd.min	sd.sd	skewness.max	skewness.mean	skewness.median	skewness.min	skewness.sd	sparsity.max	sparsity.mean	sparsity.median	sparsity.min	sparsity.sd	t_mean.max	t_mean.mean	t_mean.median	t_mean.min	t_mean.sd	var.max	var.mean	var.median	var.min	var.sd	id_experimento	reducao
1	1.000000000011954	0.07281445162797219	0.0031809424362556913	5.256289521790757e-05	0.15877326117212118	6.421184059255688	1.473867986397978	0.34115389314517625	0.0	2.2441971583906564	0.082010582010582	30.0	1.0	0.01655428879273251	0.007074428964086797	1.4751522827030838e-16	0.04971206102996911	30.474653698791627	0.015224943027185928	4.9120738775911524e-05	7.214977215733776e-18	0.34525062243092	1232786.0980668524	2136.5577570500163	0.0026941481824119705	-1.0960918968149242e-16	51321.556217621524	1365.5470967047281	2.366632749921539	0.0	0.0	56.8484694659556	542.782849388521	0.9406981791828786	0.0	0.0	22.59634568047401	12.193548387096774	1966.25	3.414644714038128	0.0	0.0	81.85581156352009	371.01585201982044	190.933985097957	120.35274090870921	-1.8554914805428346	141.76151898780168	1464.8088	2.538663431542461	0.0	0.0	60.980788243196656	3772.0	7.535528596187175	1.0	1.0	156.9887841096358	1875.6216931216932	3.2728123022750406	0.007936507936507936	0.0026455026455026454	78.08228146569873	1865.5	3.2452339688041594	0.0	0.0	77.66135252511532	13.0	0.022530329289428077	0.0	0.0	0.5411970812583573	31	19	30	0.001877527440785673	378	0.0	1	572	0.03333333333333333	3759.0	7.512998266897747	1.0	1.0	156.4475870283774	1110.309002921474	2.0222551977282857	0.08885046114752865	0.05143444998736396	46.21872394141263	19.288190885208515	12.675897188547768	11.046914792678722	-3.2397922291993737	5.6395340732819985	1.0	0.42135990834606885	0.4986737400530504	0.0	0.28111422668144764	1870.407894736842	3.2532609687129437	0.0	0.0	77.8656809425121	1232786.0819684782	2136.5577570500172	0.007894404446128498	0.002645502645502645	51321.55554626061	37	0.1
1	1.000000000004512	0.13972031910765717	0.0032538341446082452	-1.3734080672825772e-06	0.22608203473791122	6.640033594544933	1.497330343950733	0.3472129591812288	0.0	2.283491229814252	0.0746987951807229	30.0	1.0	0.015792132996733512	0.006865134602506065	0.00012444919341307793	0.046908909041205565	34.36915779058262	0.014583503273101414	4.6563063849601314e-05	5.820382981200006e-06	0.3478452967971768	1213595.1243557578	2002.6450517236105	0.00292051032620052	-8.307801730607944e-17	49298.931475790334	1442.3531793125157	2.380120757941445	0.0	0.0	58.591592761799525	188.67388970549973	0.3113430523193065	0.0	0.0	7.664352856821408	13.387096774193548	1882.0	3.112211221122112	0.0	0.0	76.45079841252371	408.01444041225153	200.65966387131763	132.68434332487286	-1.9047024448914418	153.5458507030961	1371.405	2.2630445544554454	0.0	0.0	55.70951998718864	3759.0	7.201320132013201	1.0	1.0	152.6583147296786	1962.7590361445782	3.2600580539981707	0.007228915662650603	0.0024096385542168677	79.73082337504758	1939.0	3.211221122112211	0.0	0.0	78.76609334386946	1.0	0.0016501650165016502	0.0	0.0	0.040622223185119384	31	19	30	0.0015437907427106347	415	0.0	1	601	0.03333333333333333	3758.0	7.1996699669967	1.0	1.0	152.61769250649346	1101.6329270893175	1.9138797629104327	0.08481741191974321	0.0490880693673816	44.746912951037956	20.224521148370226	12.962285352452868	11.59157472522925	-3.5964457778179844	5.848966576531534	1.0	0.4213858961962163	0.49879227053140096	0.0	0.2812160253214147	1968.2530120481927	3.25894999138468	0.0	0.0	79.95442609103486	1213595.1060473777	2002.6450517236112	0.007193993364763397	0.002409638554216868	49298.93073082214	37	0.11
1	0.5000003350137158	0.13040638898127713	0.00332149262036661	-1.122590371029744e-06	0.19462269365974427	6.571100396511133	1.4958229708021702	0.37646189046875067	0.0	2.2942059298349093	0.0684326710816777	30.0	1.0	0.014845805676238069	0.006285409130095025	0.00031495981110510167	0.04569109417240447	35.301177987458246	0.012538924728277327	3.9070894137412274e-05	4.883861767176485e-06	0.31600253801111267	1145290.272118422	1806.4637277897532	0.0028786874687647683	-7.651682825999676e-17	45485.28689618044	1370.9597062425648	2.162397013000891	0.0	0.0	54.44776555308309	207.22174906440563	0.3268481846441729	0.0	0.0	8.229827003071895	14.612903225806452	1759.0	2.780757097791798	0.0	0.0	69.85860833391722	446.01323041387076	217.6836488156198	145.349526710167	-1.8291790285387057	168.29666127708742	1315.0662	2.07423690851735	0.0	0.0	52.227950842280414	3771.0	6.946372239747634	1.0	1.0	149.72582724382784	1889.2097130242826	2.9999268807320276	0.006622516556291391	0.002207505518763797	75.02935318315757	1916.0	3.033123028391167	0.0	0.0	76.09371357427332	1.0	0.0015772870662460567	0.0	0.0	0.039715073539476876	31	18	30	0.0014850917716945494	453	0.0	1	629	0.03333333333333333	3770.0	6.944794952681388	1.0	1.0	149.68611217028837	1070.1823464231288	1.7809516930016998	0.08119860457968693	0.046984098573493865	42.498714583949486	21.143051793386082	13.485869834074364	12.12553719302036	-3.2763455451194643	6.1149019148306305	1.0	0.4375398826836328	0.4988938053097345	0.0	0.29974787607307446	1899.2600732600733	3.0063033706566835	0.0	0.0	75.42889305252626	1145290.2545957137	1806.4637277897525	0.006593213385688355	0.0022075055187637882	45485.28619915189	37	0.12
1	1.0000000000533502	0.03766134526155639	0.0018168397499578807	-5.655100489284324e-06	0.11417642170899346	6.662582131314395	1.502510695160391	0.3317953173570956	0.0	2.3231858427674474	0.06313645621181263	30.0	1.0	0.01447216997710952	0.00617304859195367	0.0002472583032347014	0.043094458308379976	46.805648613824374	0.011631073913575615	3.740803857184415e-05	4.156448730204894e-06	0.3002031015048121	1119080.3372917764	1740.4169056667786	0.0031235724336489685	-7.664074873222971e-17	44132.21994478261	1403.3039772892648	2.182432313047068	0.0	0.0	55.340906615843956	274.0162326127748	0.4261527723371303	0.0	0.0	10.806145343891597	15.838709677419354	1717.0	2.6765163297045103	0.0	0.0	67.71167014040779	484.01220751531685	230.21815013500054	158.01493975575363	-1.9284836323132464	185.276085609045	1303.2053999999998	2.0267580093312594	0.0	0.0	51.393404073419255	3763.0	6.850699844479005	1.0	1.0	148.35879756499114	1884.215885947047	2.9504106577809597	0.006109979633401222	0.002036659877800407	74.30548006006491	1915.0	2.989113530326594	0.0	0.0	75.51986930680147	1.0	0.0015552099533437014	0.0	0.0	0.03943615033625495	31	19	30	0.001186998250994414	491	0.0	1	638	0.03333333333333333	3762.0	6.849144634525661	1.0	1.0	148.31936141465488	1057.8659275376444	1.7376401984881509	0.07800667241345459	0.04512936824065223	41.71455068512551	22.023315527785602	13.75627957914209	12.636973713368153	-4.632580474197391	6.525252559372928	1.0	0.42151717285980983	0.49897959183673474	0.0	0.28124102100605425	1895.3322033898305	2.9580040593615733	0.0	0.0	74.74425729893561	1119080.3206450806	1740.4169056667783	0.006085040941020018	0.0020366598778003902	44132.21928726879	37	0.13
1	1.0000000000000144	0.0916527991946537	0.002450765733533313	-2.6300450167163904e-06	0.1930112655601798	6.625474181137542	1.4944675507062959	0.29120467627282265	0.0	2.3307831881677634	0.058712121212121215	30.0	1.0	0.01427958670837791	0.006052430519203822	1.570910002326097e-16	0.04244712825352466	21.003450060376057	0.010427682830518191	3.593812891725601e-05	6.530723674265627e-18	0.25641061289386163	1139366.946970486	1766.4722445317211	0.0032758908639122946	-1.1041334686731224e-15	44862.52925815888	1461.8252400789959	2.2663957210527066	0.0	0.0	57.5593126178717	648.2716615164065	1.0050723434362892	0.0	0.0	25.525671744806875	17.032258064516128	1831.5	2.845736434108527	0.0	0.0	72.11504030693456	521.0113528753448	237.48663586444113	126.51564676847428	-1.905297863463263	197.82764665789068	1337.3052	2.0733413953488373	0.0	0.0	52.65634082781726	3774.0	6.8496124031007755	1.0	1.0	148.56172992025643	1914.7727272727273	2.9885776368334502	0.007575757575757576	0.001893939393939394	75.39336726663375	1947.5	3.030232558139535	0.0	0.0	76.68237972944422	11.0	0.017054263565891473	0.0	0.0	0.4331245770269868	31	19	30	0.0011122345803842265	528	0.0	1	640	0.03333333333333333	3763.0	6.832558139534884	1.0	1.0	148.12860534322948	1067.4113241700043	1.7467997258089605	0.08679073580202457	0.04351941398892411	42.02569650244419	22.847857190450455	13.914935137430055	11.325900540216834	-4.063896471434619	6.74393204597914	1.0	0.42154525900844947	0.49905123339658447	0.0	0.28128191515334944	1918.0471698113208	2.98412071571352	0.0	0.0	75.5226846193217	1139366.934966362	1766.472244531721	0.00753263182105683	0.0018939393939393634	44862.528784753114	37	0.14
1	0.9759041624301058	0.05213487738534412	0.0022165981813295505	7.342854228355233e-05	0.13171360143541386	6.675277820618101	1.5110566146626272	0.34840678693684574	0.0	2.3497968754786145	0.054770318021201414	30.0	1.0	0.0131019603873565	0.0056218469402351074	9.088256470550428e-06	0.04112405384145207	51.43874104881329	0.009976745349470986	3.1270521279589634e-05	3.127052127958602e-06	0.27449312564199546	1178339.5770550668	1700.3567746501394	0.0029699143520107336	-3.906571316200076e-16	44761.418734563464	1382.1307406906171	1.9944166532332137	0.0	0.0	52.502805317229694	437.97516195236454	0.6319987906960527	0.0	0.0	16.63730064369825	18.258064516129032	1917.75	2.773088023088023	0.0	0.0	72.84911836870594	559.0105913421324	264.98831349114204	183.01295960737755	-1.8854683094719011	215.04722595304221	1391.4200999999998	2.007821212121212	0.0	0.0	52.85567889784235	3773.0	6.443001443001443	1.0	1.0	143.28643146858477	1876.0335689045937	2.725720098511618	0.00530035335689046	0.0017667844522968198	71.26396521056668	1921.0	2.782106782106782	0.0	0.0	72.97244014290973	3.0	0.004329004329004329	0.0	0.0	0.11396057645963796	31	19	30	0.0011802584056919319	566	0.0	1	688	0.03333333333333333	3770.0	6.438672438672438	1.0	1.0	143.17247089212512	1085.5135013913887	1.654335146208712	0.07267455568576087	0.042033135170919694	41.231943416412065	23.664803628207306	14.713321523687473	13.590055400796116	-4.232936185715734	7.078804873102958	1.0	0.42151093409102147	0.49911504424778763	0.0	0.28141057683760384	1877.6323529411766	2.719090060266531	0.0	0.0	71.32504817428926	1178339.5617029925	1700.3567746501394	0.005281591044122758	0.0017667844522968063	44761.418150535166	37	0.15
1	0.9688875506719158	0.11779506513708679	0.0017109771562912918	-3.010042361222603e-06	0.2102763874493107	6.6717949289587315	1.512508327694994	0.3057721134459197	0.0	2.3363598161112304	0.05132450331125828	30.0	1.0	0.01304875540493553	0.005283821302232418	1.9626155733547165e-18	0.04085567039236615	28.711942495030367	0.009263016031345842	2.745653630303242e-05	6.904372043688784e-20	0.24601059389888008	1167028.389232594	1684.0347637031855	0.003044057921753109	-1.505020196069988e-16	44331.74223778758	1424.5897658831007	2.055685087854402	0.0	0.0	54.11569031284626	577.8970287651881	0.8339062464144129	0.0	0.0	21.95249284413093	19.483870967741936	1822.75	2.634920634920635	0.0	0.0	69.240400306233	597.0099255515111	275.2120222148453	195.67881074285867	-1.8613443762721773	229.1782107059779	1374.3701999999998	1.9832181818181815	0.0	0.0	52.20800675364929	3774.0	6.444444444444445	1.0	1.0	143.32441832740463	1900.9635761589404	2.761739915713425	0.004966887417218543	0.0016556291390728477	72.21097545668638	1974.5	2.8593073593073592	0.0	0.0	75.00473523074399	8.0	0.011544011544011544	0.0	0.0	0.3038948705590346	31	19	30	0.0011218710640675958	604	0.0	1	689	0.03333333333333333	3766.0	6.432900432900433	1.0	1.0	143.0205234568456	1080.2908760054192	1.6466842811338203	0.07035917492009619	0.04068942293855797	41.03355763734226	24.454477919261898	14.922497883466251	14.048303491279944	-3.909559363106642	7.358830591706393	1.0	0.42150611846649083	0.49917081260364843	0.0	0.2814820176378017	1905.25	2.758915687487116	0.0	0.0	72.37415627015874	1167028.3767805563	1684.0347637031846	0.004950413495436692	0.0016556291390728477	44331.74176408085	37	0.16
1	0.500000397515387	0.12944070796467727	0.0032673789431219777	-2.1300515318184847e-06	0.1923498387893114	6.670188265768451	1.5191142836650533	0.3720552064773329	0.0	2.333699094333454	0.048286604361370715	30.0	1.0	0.01256194953258329	0.0052149800119740235	0.00012882024187085215	0.03931241559908169	36.67285345619431	0.00898015694696562	2.6730041164263397e-05	2.430003742205767e-06	0.2460106490643602	1197332.3058745333	1700.7670553782116	0.0029464093338529562	-3.092165871963883e-17	45126.158768473244	1299.675548735854	1.8461300408179744	0.0	0.0	48.98336527677374	547.7269482616829	0.7780212333262541	0.0	0.0	20.643236078981904	20.70967741935484	1958.25	2.7872869318181817	0.0	0.0	73.80414769670881	635.0093385157368	291.30601321337963	208.3447584427057	-1.8587541221091024	243.88669844294947	1459.6197	2.0733234375	0.0	0.0	55.01148728989897	3764.0	6.345170454545454	1.0	1.0	141.8233987057656	1808.7383177570093	2.587552658595299	0.004672897196261682	0.001557632398753894	68.16875050481333	1793.5	2.557528409090909	0.0	0.0	67.59477220288515	7.0	0.009943181818181818	0.0	0.0	0.26382242650554316	31	19	30	0.0011638432691064272	642	0.0	1	699	0.03333333333333333	3757.0	6.3352272727272725	1.0	1.0	141.55957627926003	1094.2268016046999	1.6408542809499365	0.06825186571668573	0.039466851898192594	41.23699942441892	25.219441312639674	15.320424459583984	14.492074614145759	-4.053604462100766	7.630103012927006	1.0	0.42153141581493864	0.49921996879875197	0.0	0.28150169006430464	1799.8937823834196	2.5661468146490813	0.0	0.0	67.83575439676409	1197332.2933500512	1700.767055378211	0.004658317173808503	0.0015576323987538682	45126.15829575901	37	0.17
1	1.0000000000512894	0.07906532911955592	0.001478741807087431	-6.790060967426153e-06	0.16958365574035356	6.62462878982281	1.5168023182625279	0.34584894969521485	0.0	2.315723902389762	0.045588235294117645	30.0	1.0	0.012605972845540644	0.005143603754388633	6.77778484872043e-17	0.038636153223590444	20.62258511652084	0.008841830723448484	2.5989777354240776e-05	2.4935053204025975e-18	0.23854476075905523	1170381.4593614892	1679.1810549407232	0.003101798073325608	-3.076038334113549e-17	44331.35849872887	1392.3773279134805	1.9976719195315358	0.0	0.0	52.740052041736874	418.91992978349174	0.601032897824235	0.0	0.0	15.867723823979832	21.93548387096774	1879.75	2.702654232424677	0.0	0.0	71.20043080706462	673.0088170415228	297.26281095875163	221.0107865146884	-1.8467706755678683	258.2976280542954	1395.8679	2.0026799139167863	0.0	0.0	52.872266887388186	3769.0	6.406025824964132	1.0	1.0	142.72317719440267	1887.9323529411765	2.7270128280867594	0.004411764705882353	0.0014705882352941176	71.50988918674751	1877.0	2.703012912482066	0.0	0.0	71.09613375678168	4.0	0.005738880918220947	0.0	0.0	0.15151080381571402	31	20	30	0.001030689820082785	680	0.0	1	692	0.03333333333333333	3765.0	6.400286944045911	1.0	1.0	142.57166639058693	1081.841692463657	1.6389820286864312	0.06632322230716238	0.038348249442368525	40.974425557128264	25.96187766145244	15.396860307654098	14.92265942007181	-3.531084439194575	7.864472645402344	1.0	0.40549524284515187	0.4992636229749632	0.0	0.2606829605839658	1893.1960784313726	2.7257785467128026	0.0	0.0	71.70961163284363	1170381.4475526297	1679.1810549407237	0.004398769817205282	0.0014705882352941178	44331.35805078259	37	0.18
1	1.0000000000750038	0.07822340569119668	0.001992665695958984	1.3690939933734399e-05	0.1684888593681821	6.713199537349147	1.5198105451844544	0.3490967323977357	0.0	2.325847507790801	0.043235704323570434	30.0	1.0	0.011855032999058292	0.004858506652895126	7.367616542595659e-05	0.037862764447871115	26.187437180056556	0.007481323751982141	2.337486267268181e-05	1.9479052227234865e-06	0.20690310157385705	1133939.583218229	1549.1084276907136	0.0028543469081192705	-5.011389810392387e-17	41911.61260096058	1442.3926054800772	1.9704817014755154	0.0	0.0	53.312364751923006	335.4860336036208	0.458314253556859	0.0	0.0	12.399920607398856	23.129032258064516	1760.0	2.4098360655737703	0.0	0.0	65.05131142331989	710.0083623652716	321.01850911998827	233.343563112237	-1.8974643661367434	275.0673677452006	1257.2448	1.7175475409836065	0.0	0.0	46.46910494785138	3768.0	6.146174863387978	1.0	1.0	139.23232638429383	1922.5355648535565	2.6438979963570124	0.0041841004184100415	0.001394700139470014	71.05835819473634	1985.0	2.721311475409836	0.0	0.0	73.36742184108262	1.0	0.001366120218579235	0.0	0.0	0.03696106354772865	31	19	30	0.0009418941041914288	717	0.0	1	727	0.03333333333333333	3767.0	6.144808743169399	1.0	1.0	139.19536532074602	1064.8659883313405	1.5389833019017318	0.06459421790743869	0.03734568434866356	39.35550636724749	26.66492279700812	16.014276808731545	15.330300485618915	-3.4142488966036946	8.136519999897034	1.0	0.42159831182981405	0.4993016759776536	0.0	0.28149875624637394	1946.201856148492	2.667937697310867	0.0	0.0	71.93340686478359	1133939.5731048828	1549.1084276907138	0.004172412987073673	0.0013947001394700143	41911.61222663755	37	0.19
1	1.0000000000310758	0.13107651052295852	0.0061046498991214155	-2.506712897179039e-06	0.20162337514336814	6.70068574454789	1.5113179244528545	0.32586556063206124	0.0	2.3225768688235626	0.04105960264900662	30.0	1.0	0.012145828940492246	0.005005750978359526	3.1404616366555335e-05	0.0360792365642078	16.451509828376693	0.007905442559625619	2.4592899678535668e-05	1.7566356913188423e-06	0.1991356821431529	1159740.610285287	1654.41990356446	0.0031254824501558164	-5.628710650043911e-17	43802.7978947955	1382.0148351108794	1.9714904923122387	0.0	0.0	52.19797991929923	405.41535163299216	0.5783385900613297	0.0	0.0	15.312326500327863	24.35483870967742	1758.5	2.514265335235378	0.0	0.0	66.41745529330423	748.0079417569417	316.6689001714712	183.26093776226665	-1.904485265578281	283.9165639566451	1310.6183999999998	1.8696410841654776	0.0	0.0	49.50137378197926	3772.0	6.379457917261056	1.0	1.0	142.4287042909239	1868.5350993377483	2.6838348244230086	0.005298013245033113	0.0013245033112582781	70.5729534270845	1861.0	2.664764621968616	0.0	0.0	70.28869264566937	2.0	0.0028530670470756064	0.0	0.0	0.07553895746004978	31	19	30	0.0007947829631139189	755	0.0	1	696	0.03333333333333333	3770.0	6.37660485021398	1.0	1.0	142.35316533346386	1076.9125321413592	1.6223823100809966	0.07264250557860154	0.03639372626234142	40.671211882999394	27.368178556503057	15.792221026696005	13.602139639879185	-3.712981671550222	8.30375712934044	1.0	0.4217796382602079	0.49933687002652516	0.0	0.28126889705087144	1852.708609271523	2.6525021020113178	0.0	0.0	69.97553771948216	1159740.6018831138	1654.4199035644601	0.0052769336167371545	0.0013245033112582398	43802.797576986275	37	0.2
1	0.7973067567211067	0.0983262900077856	0.003266880039278423	-1.8800567773537881e-06	0.176836761656267	6.491985923578657	1.4779129102210438	0.3513416080594463	0.0	2.2689236275855147	0.082010582010582	30.0	1.0	0.016479316877133693	0.007074428964086797	2.4520724578557684e-17	0.048786472320077476	35.5340406719717	0.01627606118924825	4.912073877591155e-05	1.1779554637932695e-18	0.3978043729238175	1174453.2868068276	2004.199614468062	0.0027894274524066483	-7.228273626710665e-16	48516.21754869667	1483.9224256608811	2.5322908287728345	0.0	0.0	61.30027038367277	714.7701099784318	1.219744214980259	0.0	0.0	29.526881086342257	12.193548387096774	1779.75	3.0439419795221845	0.0	0.0	73.520558564348	371.01585201982044	187.85673920694472	120.3527409087092	-1.902444410494766	140.46021375849062	1344.7182	2.2947409556313993	0.0	0.0	55.54979682521743	3773.0	7.436860068259386	1.0	1.0	155.8198837680044	1931.7063492063492	3.318345161348575	0.007936507936507936	0.0026455026455026454	79.79719897951152	1890.5	3.2380546075085324	0.0	0.0	78.0954165609795	9.0	0.015358361774744027	0.0	0.0	0.37178657314741237	31	19	30	0.0017094017094017094	378	0.0	1	581	0.03333333333333333	3764.0	7.421501706484642	1.0	1.0	155.44809719485696	1083.7219494285002	1.9470372131630524	0.08885046114752898	0.05143444998736396	44.764139247197434	19.288190885208515	12.586106959458975	11.046914792678722	-3.865181102353998	5.567867075598	1.0	0.42137468922176097	0.4986737400530504	0.0	0.2810951548680834	1917.0526315789473	3.282947128914436	0.0	0.0	79.19230275987789	1174453.2636731088	2004.199614468063	0.007894404446128557	0.002645502645502645	48516.216591406344	37	0.1
