	attr_conc.max	attr_conc.mean	attr_conc.median	attr_conc.min	attr_conc.sd	attr_ent.max	attr_ent.mean	attr_ent.median	attr_ent.min	attr_ent.sd	attr_to_inst	cat_to_num	cor.max	cor.mean	cor.median	cor.min	cor.sd	cov.max	cov.mean	cov.median	cov.min	cov.sd	eigenvalues.max	eigenvalues.mean	eigenvalues.median	eigenvalues.min	eigenvalues.sd	g_mean.max	g_mean.mean	g_mean.median	g_mean.min	g_mean.sd	h_mean.max	h_mean.mean	h_mean.median	h_mean.min	h_mean.sd	inst_to_attr	iq_range.max	iq_range.mean	iq_range.median	iq_range.min	iq_range.sd	kurtosis.max	kurtosis.mean	kurtosis.median	kurtosis.min	kurtosis.sd	mad.max	mad.mean	mad.median	mad.min	mad.sd	max.max	max.mean	max.median	max.min	max.sd	mean.max	mean.mean	mean.median	mean.min	mean.sd	median.max	median.mean	median.median	median.min	median.sd	min.max	min.mean	min.median	min.min	min.sd	nr_attr	nr_bin	nr_cat	nr_cor_attr	nr_inst	nr_norm	nr_num	nr_outliers	num_to_cat	range.max	range.mean	range.median	range.min	range.sd	sd.max	sd.mean	sd.median	sd.min	sd.sd	skewness.max	skewness.mean	skewness.median	skewness.min	skewness.sd	sparsity.max	sparsity.mean	sparsity.median	sparsity.min	sparsity.sd	t_mean.max	t_mean.mean	t_mean.median	t_mean.min	t_mean.sd	var.max	var.mean	var.median	var.min	var.sd	id_experimento	reducao
1	1.000000000000479	0.7115386423346718	0.8506675188928956	0.030782725534513077	0.30859501369118275	4.936286231168867	4.168898956327732	4.58264498113796	0.0	1.25585236683397	1.0285714285714285	17.0						26.01260504201681	0.008835467596043336	0.0008403361344537816	0.0	0.16112957410893608	9562.972478261183	10.875851292898108	1.1507514419368906e-18	-8.893536827258947e-16	322.0009564126489	161.823991848728	0.18347391366068935	0.0	0.0	5.44889723785296	48.526462939619286	0.05501866546442096	0.0	0.0	1.633971000552499	0.9722222222222222	151.5	0.17403628117913833	0.0	0.0	5.1013602858445575						121.5732	0.13783809523809523	0.0	0.0	4.09358257764516	343.0	1.3866213151927438	1.0	0.0	11.515826455192256	203.28571428571428	0.2675413022351799	0.02857142857142857	0.0	6.843882926457465	193.0	0.22108843537414966	0.0	0.0	6.4987458630413695	2.0	0.0022675736961451248	0.0	0.0	0.0673435029701474	36	2	34	0.030358719348503684	35	2.0	2	877	0.058823529411764705	341.0	1.3843537414965987	1.0	0.0	11.448483241792685	97.78504981021668	0.29165463085912835	0.16903085094570333	0.0	3.2867974094405743						1.0	0.06098182829831262	0.0067190669371196745	0.0	0.1955913879687638	207.04761904761904	0.23701544109707373	0.0	0.0	6.971709488865555	9561.915966386556	10.875851292898108	0.028571428571428577	0.0	321.9652900538603	38	0.1
1	0.9357040600041947	0.7276946714907543	0.7925213824505133	0.04366801217990705	0.2203966625947696	4.958353821370877	4.117710869988747	4.483834912994554	0.0	1.2496843779973938	0.9230769230769231	17.0						17.51349527665317	0.007157688498044735	0.00067476383265857	0.0	0.13080200754727755	8127.718652503355	8.924596249080874	1.0241013776935549e-18	-1.134512202239907e-15	268.8400334836616	143.0090007457487	0.15646498987499857	0.0	0.0	4.730317310045622	85.77262943155483	0.09384313942183242	0.0	0.0	2.8371064171656593	1.0833333333333333	139.0	0.15645514223194748	0.0	0.0	4.597921683300197						103.782	0.11354704595185995	0.0	0.0	3.432803449511192	324.0	1.3522975929978118	1.0	0.0	10.683977838241416	179.05128205128204	0.2316388935644953	0.02564102564102564	0.0	5.9214944402677	177.0	0.19584245076586435	0.0	0.0	5.854753846937445	12.0	0.01312910284463895	0.0	0.0	0.39692472099337367	36	2	34	0.028441596103930343	39	2.0	2	906	0.058823529411764705	312.0	1.3391684901531729	1.0	0.0	10.287055092891054	90.14898449903819	0.27319979281584394	0.16012815380508721	0.0	2.976516654606096						1.0	0.06281095686019553	0.009074410163339383	0.0	0.19530715779899488	183.4	0.20371991247264773	0.0	0.0	6.066377067526222	8126.839406207829	8.92459624908087	0.025641025641025668	0.0	268.8108610854349	38	0.11
1	0.9590804866376004	0.7412293321108532	0.8060268882802892	0.027229949385603604	0.22325621406291293	4.89815343463201	4.038369559390548	4.451417869925695	0.0	1.2093423316424965	0.8571428571428571	17.0						20.569686411149824	0.007188072070083376	0.000580720092915215	0.0	0.15028702829293789	11420.458405737914	12.180249338967553	1.134533084220803e-18	-9.653209633476558e-16	372.49331610380574	88.43569551851229	0.0940805271473535	0.0	0.0	2.884454342336604	39.2653732675909	0.041771673688926494	0.0	0.0	1.280695264068586	1.1666666666666667	155.75	0.18058510638297873	0.0	0.0	5.080964095809864						123.05579999999999	0.13091042553191487	0.0	0.0	4.013637644602489	353.0	1.373404255319149	1.0	0.0	11.481055150827373	137.02380952380952	0.18074974670719343	0.023809523809523808	0.0	4.468390484511998	115.5	0.125	0.0	0.0	3.767407237742513	3.0	0.0031914893617021275	0.0	0.0	0.09784921095801634	36	1	34	0.027643713321097593	42	1.0	2	924	0.058823529411764705	350.0	1.3702127659574468	1.0	0.0	11.383206338117219	106.86245732311028	0.2830353235659858	0.15430334996209188	0.0	3.480377356412875						1.0	0.058912711059165596	0.008654602675059006	0.0	0.18647550142409344	119.65384615384616	0.13232405891980362	0.0	0.0	3.902807871590904	11419.584785133564	12.180249338967545	0.023809523809523798	0.0	372.46475135563986	38	0.12
1	1.000000000000633	0.635542267108741	0.7230102993171399	0.040092119677415716	0.26271051300439185	4.97965869499932	3.999201967735936	4.408968548651298	0.0	1.1950951577325943	0.782608695652174	17.0						13.515458937198066	0.006789301582929056	0.0004830917874396135	0.0	0.12928588904233282	9855.593490350426	10.427037342791332	1.087355940789877e-18	-1.313922432513744e-15	320.09383792168364	111.95241408706376	0.11809326380491958	0.0	0.0	3.636045375181837	29.320712683057355	0.03092902181757105	0.0	0.0	0.9522924772783901	1.2777777777777777	158.0	0.17167721518987342	0.0	0.0	5.131905503860858						120.83189999999999	0.12745981012658228	0.0	0.0	3.9244376707031763	348.0	1.3649789029535866	1.0	0.0	11.27011716758275	158.45652173913044	0.20177490368739678	0.021739130434782608	0.0	5.145542920402958	133.5	0.1429324894514768	0.0	0.0	4.336052863216446	1.0	0.0010548523206751054	0.0	0.0	0.03247849012308154	36	2	34	0.02543230009044774	46	2.0	2	941	0.058823529411764705	347.0	1.3639240506329113	1.0	0.0	11.237638812715005	99.27150346885144	0.2713090980986966	0.14744195615489708	0.0	3.2193728561557635						1.0	0.06550572414726591	0.011302270011947432	0.0	0.19484914386919525	153.85714285714286	0.16527275467148883	0.0	0.0	4.997096806531934	9854.831400966183	10.427037342791323	0.02173913043478259	0.0	320.06901715672166	38	0.13
1	1.0000000000009082	0.7673839456470376	0.8467089686423855	0.019861750929586496	0.23518259828733853	5.388758439731455	4.426015038030664	4.84357702721425	0.0	1.3979433589948769	0.72	17.0						24.355102040816323	0.004543904405143273	0.0004081632653061223	0.0	0.10728112602181933	10078.900078615097	8.326588440977709	6.54355996123543e-19	-1.181902656414891e-15	289.26959738305834	127.30153852917697	0.1048612343732924	0.0	0.0	3.6536278502043333	49.57804080692894	0.04083858386073224	0.0	0.0	1.4229184717138827	1.3888888888888888	151.0	0.12953047775947282	0.0	0.0	4.334177412574445						120.83189999999999	0.0995320428336079	0.0	0.0	3.4679454791657593	340.0	1.2784184514003294	1.0	0.0	9.729562237755442	170.32	0.1674464579901154	0.02	0.0	4.887692763198137	160.0	0.13344316309719934	0.0	0.0	4.592224530638794	2.0	0.0016474464579901153	0.0	0.0	0.05740115779302915	36	2	34	0.02117776802921671	50	1.0	2	1205	0.058823529411764705	338.0	1.2767710049423393	1.0	0.0	9.672161331183327	100.38953518923276	0.2344920130616321	0.14142135623730942	0.0	2.8772245419011457						0.9999999999999999	0.0605224154626923	0.005756148613291472	0.0	0.196358988916069	166.0	0.13909939593629875	0.0	0.0	4.764366882067639	10078.058775510202	8.326588440977709	0.01999999999999998	0.0	289.2454022214231	38	0.14
1	0.9066456775680246	0.7053425494430217	0.7818353278297934	0.04501456518991016	0.22279680333859217	5.168458483725401	4.374114018234641	4.816897576918967	0.0	1.2992663120699899	0.6792452830188679	17.0						18.55442670537011	0.00411859704195488	0.0003628447024673446	0.0	0.0923997031605985	9538.037968391774	7.9074110280799825	9.290140571168062e-19	-1.5836695256993122e-15	274.19863821195474	131.484967845155	0.10866526268194629	0.0	0.0	3.7799270587699203	49.20672971698883	0.04066671877437093	0.0	0.0	1.414594019217976	1.4722222222222223	146.0	0.12231404958677686	0.0	0.0	4.19735407622965						109.71239999999999	0.09067140495867768	0.0	0.0	3.1540097414859747	352.0	1.2892561983471074	1.0	0.0	10.090605263450648	175.03773584905662	0.17191641977233751	0.018867924528301886	0.0	5.031367375873938	171.0	0.14297520661157026	0.0	0.0	4.916024782307504	2.0	0.001652892561983471	0.0	0.0	0.0574959574576069	36	1	34	0.021421979779751042	53	2.0	2	1206	0.058823529411764705	350.0	1.287603305785124	1.0	0.0	10.033109540669628	97.659526744736	0.23122964644121227	0.13736056394868895	0.0	2.803647643728198						1.0	0.05676748399610575	0.007247223087304059	0.0	0.18738748003751501	172.87878787878788	0.14465314300025045	0.0	0.0	4.969984435907161	9537.383164005807	7.907411028079977	0.01886792452830187	0.0	274.1797623150754	38	0.15
1	0.9496158050826097	0.7353027417777938	0.7808930860319373	0.033544215154825606	0.21648215574204718	5.5107053128208765	4.618712460992903	5.087675510978692	0.0	1.4067873868915521	0.631578947368421	17.0						20.494674185463666	0.0034833415888078085	0.00031328320802004984	0.0	0.0889987012290667	10430.55769763205	7.504060096439089	1.186838257488184e-18	-1.0925059990534391e-15	279.36711523476845	130.49550003175182	0.09361226688074019	0.0	0.0	3.4951365603804376	63.467993284668694	0.045529406947395046	0.0	0.0	1.6999000248227005	1.5833333333333333	162.0	0.11764705882352941	0.0	0.0	4.339066586114053						124.5384	0.08933888091822094	0.0	0.0	3.3355840998760264	354.0	1.2525107604017216	1.0	0.0	9.454660621871017	175.03508771929825	0.14926124493443077	0.017543859649122806	0.0	4.6875805159910335	169.0	0.12266857962697274	0.0	0.0	4.526544797676528	5.0	0.003586800573888092	0.0	0.0	0.133917896001395	36	1	34	0.018770837174188218	57	1.0	2	1390	0.058823529411764705	349.0	1.2489239598278337	1.0	0.0	9.320743270936786	102.12649105613389	0.2155453841872249	0.13245323570650436	0.0	2.731840754741681						1.0	0.05496418114508032	0.005275974025974025	0.0	0.18797108681751712	171.37142857142857	0.12436974789915968	0.0	0.0	4.5900243734362185	10429.820175438595	7.504060096439086	0.017543859649122803	0.0	279.34732255724026	38	0.16
1	0.9406107670580132	0.6290636131384142	0.7264521354014866	0.02629869974375938	0.27124275689441835	5.1875362712963495	4.25201569884237	4.614694939810979	0.0	1.2666352247992054	0.6	17.0						13.108474576271185	0.003856411696923844	0.0002824858757062154	0.0	0.08448150902696186	10492.095453468888	8.430829892800235	1.1281171310771197e-18	-1.411794100351111e-15	296.9983285684456	124.28465240490954	0.09958706122188264	0.0	0.0	3.518116440368075	63.66191280107547	0.051011148077784826	0.0	0.0	1.80207304535934	1.6666666666666667	173.25	0.14302884615384615	0.0	0.0	4.90440650521277						120.83189999999999	0.09682043269230768	0.0	0.0	3.4203796340514088	354.0	1.2820512820512822	1.0	0.0	9.992407620945308	170.4	0.1630074786324787	0.016666666666666666	0.0	4.822962350948645	175.5	0.1422275641025641	0.0	0.0	4.967981249599148	5.0	0.004006410256410256	0.0	0.0	0.14153462926807447	36	1	34	0.02022931959780396	60	1.0	2	1242	0.058823529411764705	349.0	1.2780448717948718	1.0	0.0	9.850873567745362	102.42834618256276	0.22631237769902293	0.12909944487358066	0.0	2.8959165074537614						1.0	0.05815713981121329	0.009126466753585399	0.0	0.18716916076413512	170.13888888888889	0.1386440527065527	0.0	0.0	4.816173312276875	10491.56610169492	8.430829892800233	0.01666666666666669	0.0	296.9833017044787	38	0.17
1	0.9265487605860595	0.687435750715934	0.8289282622039642	0.03173758507305271	0.30325530362584546	5.619304250365622	4.851451319147554	5.31778662084022	0.0	1.4973020015202356	0.5625	17.0						17.55109126984127	0.0027753138825693507	0.000248015873015873	0.0	0.06999849691398193	10504.41319939035	6.499042055903176	3.931773249463824e-22	-1.1260884162688516e-15	260.9032838810749	153.17378600588776	0.09449339050332373	0.0	0.0	3.8044592751042674	99.56404418385995	0.061421372106020944	0.0	0.0	2.4729254348235346	1.7777777777777777	188.75	0.11705737199259716	0.0	0.0	4.688135199014348						140.10569999999998	0.08643164713140036	0.0	0.0	3.4798802312001844	351.0	1.21529919802591	1.0	0.0	8.693188073225768	191.59375	0.13867789944478717	0.015625	0.0	4.758328234642555	197.5	0.1230721776681061	0.0	0.0	4.905508185285016	13.0	0.008019740900678593	0.0	0.0	0.3228879553480149	36	2	34	0.016813276364993412	64	1.0	2	1618	0.058823529411764705	338.0	1.2072794571252314	1.0	0.0	8.370301486612876	102.48805098760585	0.1964604729824012	0.125	0.0	2.542524978772083						1.0	0.058585661310041046	0.004046062869592281	0.0	0.19721004206548606	192.85	0.12021900061690315	0.0	0.0	4.7900016719019956	10503.800595238095	6.499042055903176	0.015625	0.0	260.8880382492602	38	0.18
1	0.9415078180068486	0.6325692081601859	0.7707942236675627	-4.4675573961129e-08	0.283999491605086	5.429832616083286	4.538290100474744	4.9863634910473325	0.0	1.350797741558948	0.5373134328358209	17.0						26.81931252826775	0.003278668097410354	0.0002261420171867935	0.0	0.09329560599945237	11982.2202684995	8.121676943208234	6.53219243970391e-19	-1.512193966328415e-15	311.56775942247793	128.65237696431427	0.08698605609487105	0.0	0.0	3.3452896555240663	34.98913091881344	0.02365728932982653	0.0	0.0	0.9098065693022602	1.8611111111111112	211.0	0.14705882352941177	0.0	0.0	5.48680695352515						154.19039999999998	0.10425314401622716	0.0	0.0	4.009343334901573	352.0	1.2366463826910075	1.0	0.0	9.126949113058169	182.40298507462686	0.14571160425055252	0.014925373134328358	0.0	4.7425230013095145	189.0	0.12914131169709264	0.0	0.0	4.914583942146252	1.0	0.000676132521974307	0.0	0.0	0.02600254837461719	36	1	34	0.01759408443513657	67	1.0	2	1470	0.058823529411764705	351.0	1.235970250169033	1.0	0.0	9.100946670512927	109.45970058227083	0.20847531212639367	0.12216944435630511	0.0	2.843181426995309						1.0	0.056332465548144736	0.00622246400171932	0.0	0.18779061870949695	184.2439024390244	0.12651923679480204	0.0	0.0	4.790875894852326	11981.42605156038	8.12167694320823	0.01492537313432833	0.0	311.5470743000027	38	0.19
