	attr_conc.max	attr_conc.mean	attr_conc.median	attr_conc.min	attr_conc.sd	attr_ent.max	attr_ent.mean	attr_ent.median	attr_ent.min	attr_ent.sd	attr_to_inst	cat_to_num	cor.max	cor.mean	cor.median	cor.min	cor.sd	cov.max	cov.mean	cov.median	cov.min	cov.sd	eigenvalues.max	eigenvalues.mean	eigenvalues.median	eigenvalues.min	eigenvalues.sd	g_mean.max	g_mean.mean	g_mean.median	g_mean.min	g_mean.sd	h_mean.max	h_mean.mean	h_mean.median	h_mean.min	h_mean.sd	inst_to_attr	iq_range.max	iq_range.mean	iq_range.median	iq_range.min	iq_range.sd	kurtosis.max	kurtosis.mean	kurtosis.median	kurtosis.min	kurtosis.sd	mad.max	mad.mean	mad.median	mad.min	mad.sd	max.max	max.mean	max.median	max.min	max.sd	mean.max	mean.mean	mean.median	mean.min	mean.sd	median.max	median.mean	median.median	median.min	median.sd	min.max	min.mean	min.median	min.min	min.sd	nr_attr	nr_bin	nr_cat	nr_cor_attr	nr_inst	nr_norm	nr_num	nr_outliers	num_to_cat	range.max	range.mean	range.median	range.min	range.sd	sd.max	sd.mean	sd.median	sd.min	sd.sd	skewness.max	skewness.mean	skewness.median	skewness.min	skewness.sd	sparsity.max	sparsity.mean	sparsity.median	sparsity.min	sparsity.sd	t_mean.max	t_mean.mean	t_mean.median	t_mean.min	t_mean.sd	var.max	var.mean	var.median	var.min	var.sd	id_experimento	reducao
1	0.9923145505295531	0.4065727445065982	0.27885286766732686	0.02710590931745804	0.306912163696591	7.051163817323444	4.828340485604277	5.047240688905045	0.9896911180731478	1.5965690165634607	0.15671641791044777	20.0	1.0	0.025210179989751988	0.010673385899176756	0.000705674832033233	0.08219803159466188	4.827909325552685	0.0007700355576796067	0.00011222085063404766	5.611042531701403e-05	0.012317045951457585	339.98366990557207	0.32164487459067176	2.5566580010584096e-18	-5.094959138075153e-16	10.204263324398621	56.306759404474874	0.05072681027430169	0.0	0.0	1.6900480175046946	51.88986092693038	0.04674762245669404	0.0	0.0	1.5574747599696446	6.380952380952381	32.75	0.031306306306306306	0.0	0.0	0.9838527741509695	127.04460904433057	94.56992418435676	127.04460904433049	-1.9578768313756292	43.506986340067456	24.462899999999998	0.022038648648648646	0.0	0.0	0.7342542189371651	82.0	1.072972972972973	1.0	1.0	2.43121591201004	59.798507462686565	0.07025682398816728	0.007462686567164179	0.007462686567164179	1.7945372114564908	62.5	0.057207207207207206	0.0	0.0	1.8761512467707795	14.0	0.012612612612612612	0.0	0.0	0.420210157631365	21	1	20	0.008056929788219239	134	0.0	1	1107	0.05	68.0	1.0603603603603604	1.0	1.0	2.011005754378675	18.4312499630164	0.13128613205638207	0.08638684255813621	0.08638684255813601	0.5519812638068924	11.317965730974894	9.42096565453705	11.317965730974885	-0.4425369524056006	2.6673916886699263	0.49624060150375937	0.040531505535255405	0.014383785550833606	5.653230821414479e-05	0.10583704785155787	61.81707317073171	0.056372225884421014	0.0	0.0	1.8555124315490998	339.71097519919203	0.32164487459067204	0.007462686567164213	0.007462686567164179	10.195976383270182	30	0.1
1	0.9999765343663816	0.45938066365554203	0.5178081769943581	0.0830113188715577	0.29343107882929964	7.199672344836364	4.8083839354989975	4.965050571632791	0.9373652146678144	1.6095514915732543	0.14285714285714285	20.0	1.0	0.02417010049694813	0.009719738231534904	0.0006752433800373341	0.07838037966535079	4.615553070543284	0.0007124468888176853	9.318796011555329e-05	4.659398005777644e-05	0.01140283521318119	296.6290497043668	0.2775508554737205	1.5099687253826684e-18	-6.879350628424476e-16	8.82385184645764	57.62504506942112	0.05099561510568241	0.0	0.0	1.7142417037301951	54.49360131832153	0.04822442594541728	0.0	0.0	1.6210868703664496	7.0	31.5	0.029646017699115044	0.0	0.0	0.9379589143841542	140.04067749548807	101.6924478896659	140.04067749548798	-1.6443427474269894	48.87180348949585	23.7216	0.020992566371681416	0.0	0.0	0.705675040257538	82.0	1.0716814159292036	1.0	1.0	2.4096046751003546	60.40136054421769	0.06964661970983083	0.006802721088435374	0.006802721088435374	1.7965568473081561	63.0	0.05663716814159292	0.0	0.0	1.8743467054948544	20.0	0.017699115044247787	0.0	0.0	0.5949641173087297	21	1	20	0.007344584055119654	147	0.0	1	1127	0.05	62.0	1.0539823008849558	1.0	1.0	1.8146405577916251	17.214862909287305	0.12781212722452354	0.08247860988423222	0.08247860988423203	0.511318182740438	11.878041981287055	9.731015024544451	11.878041981287053	-0.6055615091999726	2.8834991341888023	0.4965753424657534	0.041798500183491634	0.014573010784027979	0.0	0.10576255546865605	61.741573033707866	0.055404196082330714	0.0	0.0	1.8368137405362015	296.35150498555583	0.2775508554737205	0.006802721088435369	0.006802721088435338	8.815489788832533	30	0.11
1	0.9931437537669898	0.42540137761966695	0.3233974453074885	0.09405707303929824	0.283194442465332	7.306072157617721	4.8605853281342055	5.075162545474952	0.9572485764449988	1.636806646725691	0.13043478260869565	20.0	1.0	0.022692149517108042	0.008866586276648911	7.776895783793408e-05	0.07472402014865756	3.026591614906832	0.0006230685964326744	7.763975155279522e-05	3.881987577639316e-05	0.009531494709447329	296.46010873901685	0.26268707668778674	8.041514163337833e-19	-5.281341372209182e-16	8.579235406637812	57.82244360271126	0.0484275072049508	0.0	0.0	1.673378858530895	53.964344884088945	0.04519626874714317	0.0	0.0	1.5617256590530892	7.666666666666667	28.0	0.02512562814070352	0.0	0.0	0.811302302442095	154.0371513444698	110.43896283761497	154.03715134446975	-1.7661273440548555	54.283533185628585	22.238999999999997	0.018625628140703517	0.0	0.0	0.6435956371986259	82.0	1.0678391959798994	1.0	1.0	2.3441362747015924	60.807453416149066	0.06636182985319976	0.006211180124223602	0.006211180124223602	1.7595197640128186	62.0	0.052763819095477386	0.0	0.0	1.794486264942901	15.0	0.01256281407035176	0.0	0.0	0.4340993101299245	21	1	20	0.006528872358439305	161	0.0	1	1191	0.05	67.0	1.0552763819095476	1.0	1.0	1.910036964571668	17.21173855539814	0.12368049047970645	0.07881104062391003	0.0788110406239099	0.49759178160504064	12.453123437715977	10.117827019440881	12.453123437715973	-0.4946987915341994	3.064214912021985	0.496875	0.041304080106860305	0.016111111111111114	7.861635220125784e-05	0.10571953112650945	62.391752577319586	0.05297104077086463	0.0	0.0	1.805713170717838	296.24394409937884	0.2626870766877868	0.006211180124223599	0.006211180124223575	8.572884147904992	30	0.12
1	1.0000000000136269	0.3646972023227881	0.24310987806309353	0.005233579039772556	0.2999543908397806	7.431449242975167	4.859999734981214	5.00775987470997	0.912441179764541	1.640725943892163	0.1206896551724138	20.0	1.0	0.021920098833655515	0.008198373931804384	0.0006081096822719222	0.07293906077162324	3.135339844528603	0.0005841890774987734	6.644076805527893e-05	3.322038402763928e-05	0.009400354931284167	309.1147057963205	0.2667163858742906	2.0750066075654335e-18	-6.000073701346857e-16	8.838764234532372	57.258082826378455	0.046817729212083777	0.0	0.0	1.6372823265913705	52.58411014781641	0.042996001756186765	0.0	0.0	1.5036311024526703	8.285714285714286	28.75	0.025143090760425185	0.0	0.0	0.8230463899635372	167.03438367023386	117.5334847507643	167.03438367023378	-1.477837052513189	59.601353502884265	20.7564	0.01697170891251022	0.0	0.0	0.5935247078863922	82.0	1.0662305805396566	1.0	1.0	2.3161772435874126	60.58620689655172	0.06453886711591056	0.005747126436781609	0.005747126436781609	1.7322273437413687	64.0	0.053147996729354045	0.0	0.0	1.8302659560554961	11.0	0.008994276369582993	0.0	0.0	0.3145425886353275	21	1	20	0.005928380347753706	174	0.0	1	1220	0.05	71.0	1.0572363041700736	1.0	1.0	2.0016346549520847	17.575634555767003	0.1216357797614108	0.07580980435789032	0.07580980435789025	0.5021227715621223	12.964347922260835	10.405930001618055	12.964347922260828	-0.7283936884118501	3.2530293593581043	0.49710982658959535	0.040796946824218874	0.016570327552986513	3.341240936883989e-05	0.10567147538953794	62.735849056603776	0.052068066461994175	0.0	0.0	1.7940413149843226	308.9029300378712	0.2667163858742908	0.005747126436781607	0.005747126436781597	8.832624950476317	30	0.13
1	1.000000000016413	0.39299010330372963	0.3216439880260514	0.004466997554996512	0.2983279392039012	7.554588851677638	4.927801095644448	5.1192098010033	0.8975449375183373	1.6846022982307656	0.11170212765957446	20.0	1.0	0.020421589418369045	0.007582941795082598	2.3138461187026178e-05	0.0697120029215714	2.8646319262714766	0.0005029031443557439	5.68892934349757e-05	2.844464671747473e-05	0.008009515920635507	284.3029083563876	0.23064978367704697	1.1471454764968629e-18	-5.663936873353261e-16	7.863732201538451	60.20440947122015	0.04606305238807969	0.0	0.0	1.6652924270128102	56.64594317652885	0.04334043089252399	0.0	0.0	1.5668629760078543	8.952380952380953	30.0	0.02448355011476664	0.0	0.0	0.8306976561996334	181.0318300135812	126.98451533811155	181.0318300135809	-1.3736357596421618	64.70493344282295	20.0151	0.015313771996939557	0.0	0.0	0.553630452464408	82.0	1.061973986228003	1.0	1.0	2.240511746112537	62.994680851063826	0.06228328639567634	0.005319148936170213	0.005319148936170213	1.7422799615342095	66.5	0.051644988523335884	0.0	0.0	1.8396192685018815	15.0	0.011476664116296864	0.0	0.0	0.41490958261343264	21	1	20	0.005372180191242585	188	0.0	1	1304	0.05	67.0	1.0504973221117062	1.0	1.0	1.8256021634991035	16.855630246911378	0.11662789187826825	0.07293249574894722	0.07293249574894689	0.46606213239560007	13.493287591169608	10.80727810945373	13.493287591169599	-0.7959812083257539	3.394084160610621	0.49732620320855614	0.04028326212448739	0.014365104330502252	0.0	0.10585758357550437	65.60526315789474	0.050946992577081573	0.0	0.0	1.8148064173093172	284.11227102059377	0.23064978367704697	0.005319148936170206	0.005319148936170157	7.8583781128834165	30	0.14
1	0.9947771439982577	0.33967001787400375	0.21024618468349351	0.07739329403492679	0.2686808084589151	7.631151193666493	4.913111787096658	4.974103043145404	0.9635359835770286	1.6883498473108975	0.1044776119402985	20.0	1.0	0.019691896936872306	0.008703882797784848	2.16704489114364e-05	0.06856508646853851	2.4219402985074616	0.0004704694936740742	7.462686567164147e-05	2.4875621890539175e-05	0.007423259985829466	265.0378483964808	0.2115036138647094	1.5426568069853422e-18	-6.882962328384206e-16	7.256292789092138	57.4620170468025	0.04307497529745315	0.0	0.0	1.5732688787466842	54.53372192117929	0.04087985151512691	0.0	0.0	1.4930942551309443	9.571428571428571	27.0	0.021739130434782608	0.0	0.0	0.7402122347348469	194.02977649068097	135.23178135896924	194.0297764906809	-1.8009510473636883	69.93290034738855	20.7564	0.015559520239880059	0.0	0.0	0.5682953685426675	82.0	1.06071964017991	1.0	1.0	2.217721996683244	60.004975124378106	0.05866842698053956	0.004975124378109453	0.004975124378109453	1.6427017700487656	62.0	0.0472263868065967	0.0	0.0	1.6977158516670683	21.0	0.015742128935532233	0.0	0.0	0.5749649621030634	21	1	20	0.005333417312349076	201	0.0	1	1331	0.05	61.0	1.0449775112443778	1.0	1.0	1.6427570345801805	16.274365582853854	0.11391263744122934	0.07053456158585987	0.07053456158585983	0.445731374005447	13.966545030433945	11.130750009833607	13.966545030433938	-0.4559986575108473	3.5600738309264655	0.4975	0.04070900100414943	0.0159375	5.025125628140725e-05	0.1058413031551932	61.446280991735534	0.04665022860470591	0.0	0.0	1.6824460414909905	264.85497512437803	0.21150361386470948	0.004975124378109459	0.004975124378109453	7.251205421569983	30	0.15
1	0.9950775728608943	0.4511081378982073	0.4674721546845185	0.07878750958727798	0.2796014251747107	7.722775397616098	4.939650075328764	5.070745358383081	0.9633983602179661	1.7189742501627523	0.09813084112149532	20.0	1.0	0.018625107680738016	0.006655141069022988	3.1835828222064397e-20	0.06563862212026904	2.9178403755868545	0.00043785762080953295	4.3876968978983014e-05	1.1401938339753663e-19	0.007408342864274165	286.7920223898133	0.21804615668283062	2.461766341789205e-18	-6.235097462178042e-16	7.6810727648162604	57.66613464153868	0.04136738496523579	0.0	0.0	1.544505484345604	54.16482309864171	0.03885568371495101	0.0	0.0	1.4507278293315726	10.19047619047619	28.75	0.021341463414634148	0.0	0.0	0.7704743467018473	207.02797187527304	143.9305292231004	207.02797187527293	-1.7993986756329643	74.41681505736214	20.7564	0.014889813486370158	0.0	0.0	0.555930683312671	82.0	1.058106169296987	1.0	1.0	2.1694699152225994	60.5	0.056544067364807805	0.004672897196261682	0.004672897196261682	1.6202346207122311	61.0	0.04447632711621234	0.0	0.0	1.6339986292092075	14.0	0.010043041606886656	0.0	0.0	0.37497010880390613	21	1	20	0.004583277115233886	214	0.0	1	1392	0.05	68.0	1.0480631276901005	1.0	1.0	1.7944998064186928	16.929500324010075	0.11134395602905359	0.06835859270246632	0.06835859270246623	0.453647782098997	14.424301925572756	11.47598058726793	14.42430192557275	-0.4571042808003139	3.68357860883335	0.49765258215962443	0.04039204647480158	0.015399061032863851	4.429090264859649e-05	0.10580457200142267	62.09230769230769	0.04507228782695066	0.0	0.0	1.6631417405488678	286.6079812206573	0.2180461566828306	0.004672897196261681	0.004672897196261671	7.67607347412555	30	0.16
1	0.7776515674775626	0.2930927052059736	0.23540765771538494	0.0818820911702146	0.192677746487334	7.82411808434018	5.071983628292913	5.2683973839129825	0.9386808697586005	1.7152101786671634	0.09210526315789473	20.0	1.0	0.01748324802068166	0.006243783700547676	2.4269138905982267e-17	0.06399401129706485	2.654358914908418	0.00038577319757377603	3.8642862663266464e-05	1.5043923119202222e-18	0.006906649395508499	274.8807090849209	0.19410887632974452	1.8742894868284506e-18	-6.804716630429757e-16	7.085374931978445	59.9599201368699	0.03984047849625907	0.0	0.0	1.5455846495259897	56.848490127602396	0.03777308314126405	0.0	0.0	1.4653814329536365	10.857142857142858	29.0	0.020598006644518274	0.0	0.0	0.7483854349007307	221.0262580794091	154.4233992368241	221.02625807940888	-1.6461195136034648	80.00361005488148	19.273799999999998	0.012806511627906976	0.0	0.0	0.4968200316150239	82.0	1.0538205980066446	1.0	1.0	2.087934012017192	62.574561403508774	0.053820598006644516	0.0043859649122807015	0.0043859649122807015	1.6128371364700078	66.0	0.04451827242524917	0.0	0.0	1.7014576971070674	23.0	0.015282392026578074	0.0	0.0	0.5928701515604373	21	1	20	0.004356930798049057	228	0.0	1	1502	0.05	59.0	1.0385382059800665	1.0	1.0	1.4950638604567545	16.57365518110873	0.10695323111483626	0.06622661785325247	0.06622661785325219	0.4275410374722635	14.901569952226069	11.88079187067847	14.901569952226058	-0.6008682743592183	3.8212522738447268	0.49779735682819387	0.03908655011781618	0.014910199932226368	1.9406547769217487e-05	0.10600168067966241	64.96376811594203	0.043738263758486204	0.0	0.0	1.6746652448617798	274.6860460622923	0.19410887632974452	0.004385964912280739	0.0043859649122807015	7.0802911519766605	30	0.17
1	0.9999498944405498	0.28974777597542023	0.21757472176036055	0.003443910732760701	0.25762236429005836	7.904590581043241	5.0074450634842504	5.036578483169969	0.9400343498320892	1.7644010461080473	0.08713692946058091	20.0	1.0	0.01688053657532197	0.007247137945655515	0.00021147500106024884	0.06235978383298601	3.478786307053942	0.00036719878255824895	5.1867219917011844e-05	1.7289073305656995e-05	0.006919817387324309	297.46851894740126	0.20731730110841554	1.292502806821567e-18	-6.698047493796498e-16	7.637228488656958	58.15600033611011	0.03833619006994734	0.0	0.0	1.4931441600170552	53.90260282857149	0.03553236837743671	0.0	0.0	1.3839389943951521	11.476190476190476	28.0	0.01977587343441002	0.0	0.0	0.7197765721737842	234.0248446135571	162.48560198450286	234.02484461355695	-1.6540751163755536	85.21366211226055	20.7564	0.013682531311799605	0.0	0.0	0.5329165909598211	82.0	1.0533948582729071	1.0	1.0	2.0796594721505413	61.27800829875519	0.05238828546186104	0.004149377593360996	0.004149377593360996	1.5731675362195081	64.0	0.04284772577455504	0.0	0.0	1.6433713693708973	11.0	0.007251153592617007	0.0	0.0	0.2824228912797032	21	1	20	0.00407257762943457	241	0.0	1	1514	0.05	71.0	1.04614370468029	1.0	1.0	1.797236580870838	17.241951436827883	0.10576790320021101	0.06441566264008311	0.06441566264008308	0.4430122181271811	15.331462278154222	12.166649525630614	15.33146227815422	-0.6595444575460759	3.974121474426919	0.4979166666666667	0.039790401117046806	0.014779874213836478	1.736111111111105e-05	0.1059820130077928	63.717241379310344	0.042552224217489144	0.0	0.0	1.6360253927583646	297.28488934993106	0.20731730110841554	0.0041493775933609985	0.004149377593360996	7.632457970514185	30	0.18
1	0.9999409063968662	0.3746344597785953	0.21297747258418726	0.06997024118702225	0.2836087667657444	7.986510299603954	5.085751655737932	5.216562493193111	0.9259400597385792	1.760373962806441	0.08235294117647059	20.0	1.0	0.01623430866329768	0.006846104100678643	3.8313370704077744e-17	0.060896601790677816	3.2900880037054208	0.00034666693036501287	4.631773969430241e-05	3.657676635281775e-18	0.007029119430174189	299.84241288138077	0.1991702956654508	3.684873249549719e-18	-7.749331732401775e-16	7.514665559220483	58.3991391738561	0.0366828763654875	0.0	0.0	1.463642170124058	54.83113997024425	0.03444167083558056	0.0	0.0	1.3742183503340355	12.142857142857142	30.5	0.020100502512562814	0.0	0.0	0.7649029647728457	248.02348327566332	171.01268707462194	248.0234832756632	-1.5624499482010517	90.05773728575637	22.238999999999997	0.013969221105527636	0.0	0.0	0.557370171578843	82.0	1.0508793969849246	1.0	1.0	2.0300815638241967	61.34117647058824	0.05012070154695047	0.00392156862745098	0.00392156862745098	1.5372631280193834	65.0	0.0414572864321608	0.0	0.0	1.6292548259647037	18.0	0.011306532663316583	0.0	0.0	0.4511292364053769	21	1	20	0.003928346951602765	255	0.0	1	1589	0.05	64.0	1.039572864321608	1.0	1.0	1.5789523274188193	17.309971370475694	0.10332889205390769	0.06262242910851515	0.06262242910851495	0.4342947277489652	15.781343291652508	12.474513156253424	15.781343291652492	-0.6660564771135449	4.091269905135463	0.49803149606299213	0.039536780597217026	0.013990438695163105	1.550003100006197e-05	0.10607364287822316	63.51633986928105	0.04043091273360265	0.0	0.0	1.5919966094311573	299.6351088466882	0.19917029566545089	0.0039215686274510055	0.00392156862745098	7.509417343705774	30	0.19
