	attr_conc.max	attr_conc.mean	attr_conc.median	attr_conc.min	attr_conc.sd	attr_ent.max	attr_ent.mean	attr_ent.median	attr_ent.min	attr_ent.sd	attr_to_inst	cat_to_num	cor.max	cor.mean	cor.median	cor.min	cor.sd	cov.max	cov.mean	cov.median	cov.min	cov.sd	eigenvalues.max	eigenvalues.mean	eigenvalues.median	eigenvalues.min	eigenvalues.sd	g_mean.max	g_mean.mean	g_mean.median	g_mean.min	g_mean.sd	h_mean.max	h_mean.mean	h_mean.median	h_mean.min	h_mean.sd	inst_to_attr	iq_range.max	iq_range.mean	iq_range.median	iq_range.min	iq_range.sd	kurtosis.max	kurtosis.mean	kurtosis.median	kurtosis.min	kurtosis.sd	mad.max	mad.mean	mad.median	mad.min	mad.sd	max.max	max.mean	max.median	max.min	max.sd	mean.max	mean.mean	mean.median	mean.min	mean.sd	median.max	median.mean	median.median	median.min	median.sd	min.max	min.mean	min.median	min.min	min.sd	nr_attr	nr_bin	nr_cat	nr_cor_attr	nr_inst	nr_norm	nr_num	nr_outliers	num_to_cat	range.max	range.mean	range.median	range.min	range.sd	sd.max	sd.mean	sd.median	sd.min	sd.sd	skewness.max	skewness.mean	skewness.median	skewness.min	skewness.sd	sparsity.max	sparsity.mean	sparsity.median	sparsity.min	sparsity.sd	t_mean.max	t_mean.mean	t_mean.median	t_mean.min	t_mean.sd	var.max	var.mean	var.median	var.min	var.sd	id_experimento	reducao
1	0.5000000074014868	0.45833333198583803	0.5	-2.357142987666828e-08	0.13871915661025777	1.370950594454669	0.03808196095707414	0.0	0.0	0.22849176574244479	7.2	0.02857142857142857						1.8	0.08364153627311523	0.0	0.0	0.20036248371880147	8.584145417740467	0.355263157894737	1.0289806420662917e-35	-6.874284395587865e-16	1.4800835199993085	4.0	0.37585800834743044	0.0	0.0	0.8553224014866697	4.0	0.3692016617713212	0.0	0.0	0.846301025466554	0.1388888888888889	3.0	0.2894736842105263	0.0	0.0	0.6110644119116894						1.4826	0.15606315789473682	0.0	0.0	0.46110601725255645	4.0	1.236842105263158	1.0	0.0	1.1725281193266386	4.0	0.7789473684210527	0.5	0.0	0.8905382201115087	4.0	0.7631578947368421	0.5	0.0	0.9707676128606845	4.0	0.34210526315789475	0.0	0.0	0.8146070446963051	36	12	1	0.1465149359886202	5	22.0	35	12	35.0	4.0	0.8947368421052632	1.0	0.0	1.034263641547742	1.816590212458495	0.39817667961400743	0.447213595499958	0.0	0.449483265143775						1.0	0.6238425925925927	0.375	0.0625	0.3712425659443694	4.0	0.7719298245614035	0.5	0.0	0.9494909752385369	3.3	0.3552631578947368	0.20000000000000007	0.0	0.6336071629837788	21	0.1
1	0.5000000097144512	0.45833333284657457	0.5	-1.5555556426639757e-08	0.1387191544446843	1.9219280948873625	0.053386891524648955	0.0	0.0	0.32032134914789384	7.2	0.02857142857142857						3.15	0.13292847503373817	0.0	0.0	0.29960908136106734	13.279788873134954	0.5102564102564101	2.929397579543108e-49	-2.582557384078576e-15	2.2240071553977643	4.0	0.2902437925839204	0.0	0.0	0.8022285443553941	4.0	0.28846153846153844	0.0	0.0	0.799955717397889	0.1388888888888889	3.0	0.6153846153846154	0.0	0.0	0.9065662403697466						2.9652	0.2661076923076923	0.0	0.0	0.6692730932588906	5.0	1.3333333333333333	1.0	0.0	1.1994150621148922	4.0	0.7538461538461537	0.4	0.0	0.8662824851799524	4.0	0.6666666666666666	0.0	0.0	0.982299486257503	4.0	0.28205128205128205	0.0	0.0	0.7930194777165229	36	13	1	0.18623481781376516	5	21.0	35	9	35.0	5.0	1.0512820512820513	1.0	0.0	1.1686410900276207	2.0736441353327724	0.49103027665663007	0.447213595499958	0.0	0.5255744082944424						1.0	0.5729166666666666	0.375	0.0	0.38212477705337977	4.0	0.7179487179487178	0.3333333333333333	0.0	0.9097858546902738	4.300000000000001	0.5102564102564103	0.20000000000000004	0.0	0.8723214254881755	21	0.11
1	0.5000000074014868	0.45833333270012383	0.5	-1.5000000775171597e-08	0.1387191542322151	1.584962500721156	0.044026736131143225	0.0	0.0	0.26416041678685936	6.0	0.02857142857142857						3.4000000000000004	0.11925082977714559	0.0	0.0	0.2656662290486087	11.33789725517269	0.5394736842105264	1.4780195170751455e-33	-5.457812804039991e-16	2.1018489681407533	4.0	0.3279173159229178	0.0	0.0	0.8210658779764226	4.0	0.3243421052631579	0.0	0.0	0.8171821814251038	0.16666666666666666	3.75	0.618421052631579	0.375	0.0	0.8417662457700362						3.7064999999999997	0.21458684210526313	0.0	0.0	0.6654513258830338	6.0	1.394736842105263	1.0	0.0	1.3262316801437015	4.0	0.7675438596491226	0.5	0.0	0.8755431378936325	4.0	0.6710526315789473	0.0	0.0	0.9463751312492005	4.0	0.3157894736842105	0.0	0.0	0.8089119538462708	36	14	1	0.19630156472261737	6	20.0	35	5	35.0	6.0	1.0789473684210527	1.0	0.0	1.2815020525416896	2.48327740429189	0.4911327993021611	0.5163977794943223	0.0	0.5534649038187268						1.0	0.6055555555555556	0.4	0.1	0.34883024479328006	4.0	0.7236842105263158	0.375	0.0	0.8830029262986971	6.166666666666667	0.5394736842105262	0.2666666666666667	0.0	1.0950847119359257	21	0.12
1	0.5	0.5	0.5	0.5	0.0	1.2516291673878228	0.034767476871883966	0.0	0.0	0.20860486123130378	6.0	0.02857142857142857						1.3	0.0514461830251304	0.0	0.0	0.11449565102398497	4.8439777594388	0.2236842105263158	1.4803894372689893e-49	-5.908064316596942e-16	0.8674600628529568	4.0	0.5106650271853885	0.0	0.0	0.9642591092233286	4.0	0.49306599832915626	0.0	0.0	0.9354679725580033	0.16666666666666666	1.75	0.18421052631578946	0.0	0.0	0.3928594520631916						0.7413	0.039015789473684205	0.0	0.0	0.16775195415354438	5.0	1.1578947368421053	1.0	0.0	1.1746492470031487	4.0	0.81140350877193	0.5	0.0	0.9735010442883966	4.0	0.8552631578947368	0.25	0.0	1.071169446413731	4.0	0.39473684210526316	0.0	0.0	0.8232918002359212	36	14	1	0.16927453769559034	6	19.0	35	15	35.0	4.0	0.7631578947368421	1.0	0.0	0.9133901959574144	1.329160135825126	0.3178666510160197	0.408248290463863	0.0	0.3549080620397756						1.0	0.6527777777777777	0.4	0.1	0.3409952753012536	4.0	0.8289473684210527	0.5	0.0	1.0317678071959118	1.766666666666667	0.2236842105263158	0.16666666666666669	0.0	0.3930253714798033	21	0.13
1	0.5000000097144512	0.4583333328608196	0.5	-1.5384616238102168e-08	0.13871915439725896	1.9182958340544896	0.05328599539040249	0.0	0.0	0.31971597234241483	6.0	0.02857142857142857						3.3000000000000003	0.09077822762033289	0.0	0.0	0.21201976684103985	9.40945267496574	0.46239316239316236	7.82124211981488e-50	-1.7926405468950866e-15	1.7432271526347365	4.0	0.3385662140290907	0.0	0.0	0.8413133221910774	4.0	0.3311355311355311	0.0	0.0	0.8287974270142708	0.16666666666666666	3.25	0.46153846153846156	0.0	0.0	0.781232287248598						2.9652	0.22809230769230768	0.0	0.0	0.6167988831926435	6.0	1.358974358974359	1.0	0.0	1.2873305608931398	4.0	0.7564102564102565	0.3333333333333333	0.0	0.8859248263936916	4.0	0.717948717948718	0.0	0.0	0.9444775205237175	4.0	0.3076923076923077	0.0	0.0	0.7997975452327445	36	16	1	0.15114709851551955	6	18.0	35	12	35.0	6.0	1.0512820512820513	1.0	0.0	1.2343487084868079	2.345207879911715	0.45903685787420656	0.408248290463863	0.0	0.5082336464021708						1.0	0.5900000000000001	0.4	0.039999999999999994	0.34517076519145873	4.0	0.717948717948718	0.25	0.0	0.9161911415350296	5.5	0.4623931623931624	0.16666666666666669	0.0	0.9831974181175176	21	0.14
1	0.5	0.5	0.5	0.5	0.0	1.8423709931771086	0.051176972032697464	0.0	0.0	0.30706183219618477	5.142857142857143	0.02857142857142857						4.714285714285714	0.09151082835293362	0.0	0.0	0.25069896888569154	13.163740719815403	0.540903540903541	6.4198941167612875e-34	-5.629330200137538e-16	2.2115281068863446	4.0	0.32804163488366467	0.0	0.0	0.8234802592687017	4.0	0.32346006483937517	0.0	0.0	0.8172190319593979	0.19444444444444445	5.5	0.5641025641025641	0.0	0.0	1.0524375664660788						1.4826	0.22809230769230768	0.0	0.0	0.5419166431261971	6.0	1.3846153846153846	1.0	0.0	1.3101905167888377	4.0	0.7948717948717947	0.42857142857142855	0.0	0.909311463760099	4.0	0.7435897435897436	0.0	0.0	0.9656726239953904	4.0	0.3076923076923077	0.0	0.0	0.7997975452327445	36	13	1	0.12280701754385964	7	20.0	35	8	35.0	6.0	1.0769230769230769	1.0	0.0	1.2645909549735084	2.9680841985233184	0.4651567410786546	0.3779644730092273	0.0	0.5771248414195017						1.0	0.60570987654321	0.41666666666666663	0.125	0.35088194779645987	4.0	0.7743589743589743	0.4	0.0	0.9371619948484862	8.809523809523808	0.5409035409035408	0.1428571428571429	0.0	1.4547922454160702	21	0.15
1	0.5	0.5	0.5	0.5	0.0	1.8423709931771086	0.051176972032697464	0.0	0.0	0.30706183219618477	5.142857142857143	0.02857142857142857						2.071428571428571	0.06985412248570143	0.0	0.0	0.14899861804067777	6.7166670080110595	0.38827838827838834	2.6231708965963123e-34	-4.3872957522255665e-16	1.2530444349003118	4.0	0.3348872921896255	0.0	0.0	0.8321460141001472	4.0	0.32944297082228113	0.0	0.0	0.8243774174412087	0.19444444444444445	3.0	0.47435897435897434	0.0	0.0	0.6781235521325116						2.9652	0.15206153846153844	0.0	0.0	0.5686278686060556	5.0	1.358974358974359	1.0	0.0	1.2027857902469468	4.0	0.7765567765567766	0.42857142857142855	0.0	0.8811151950172592	4.0	0.7692307692307693	0.0	0.0	0.9857281161802881	4.0	0.3076923076923077	0.0	0.0	0.7997975452327445	36	14	1	0.1039136302294197	7	18.0	35	11	35.0	5.0	1.0512820512820513	1.0	0.0	1.1459015744616012	1.9880595947760098	0.4389517305365013	0.3779644730092273	0.0	0.44804813225221574						1.0	0.5895061728395061	0.41666666666666663	0.125	0.34558254826891704	4.0	0.7538461538461537	0.4	0.0	0.9135950254053183	3.952380952380952	0.3882783882783883	0.1428571428571429	0.0	0.7177475393194491	21	0.16
1	1.0000000000000173	0.28421008606084586	0.2301586230385262	-7.142857879390569e-08	0.25744526935464335	1.9056390622295665	0.4718735910463086	0.5435644431995964	0.0	0.49753234353259884	4.5	0.02857142857142857						3.75	0.09217755928282242	0.0	0.0	0.23022725267224323	10.354241715619223	0.5100732600732601	1.1317302764635015e-32	-6.122732368601719e-16	1.9128246850952006	4.0	0.32703312038656435	0.0	0.0	0.8222662440794365	4.0	0.32191338073691017	0.0	0.0	0.8152768543415736	0.2222222222222222	4.5	0.5769230769230769	0.25	0.0	0.968507136202152						2.9652	0.2661076923076923	0.0	0.0	0.6692730932588907	6.0	1.4102564102564104	1.0	0.0	1.29203936549832	4.0	0.782051282051282	0.375	0.0	0.9175365459154302	4.0	0.7051282051282052	0.0	0.0	1.0432612626175062	4.0	0.3076923076923077	0.0	0.0	0.7997975452327445	36	14	1	0.1214574898785425	8	19.0	35	13	35.0	6.0	1.1025641025641026	1.0	0.0	1.2522584186574732	2.5495097567963922	0.4764180055353333	0.4629100498862757	0.0	0.5390260861504319						1.0	0.5936507936507937	0.42857142857142855	0.08571428571428573	0.344064390053306	4.0	0.7564102564102564	0.3333333333333333	0.0	0.9434648673455889	6.5	0.5100732600732601	0.21428571428571427	0.0	1.123893975887061	21	0.17
1	1.0000000000000082	0.2310313540345165	0.09841264318548196	-7.142857879390569e-08	0.24184121933804	1.8112781244591327	0.39645031345606135	0.0	0.0	0.47626261294235767	4.5	0.02857142857142857						1.3928571428571428	0.06301812222864854	0.0	0.0	0.1320453604719281	5.788621919325411	0.3342490842490842	1.6954078043402764e-33	-4.609105420465351e-16	1.0633936558801813	4.0	0.3190780062843817	0.0	0.0	0.8115489843791205	4.0	0.31594046978662366	0.0	0.0	0.8080509153207339	0.2222222222222222	2.25	0.41025641025641024	0.0	0.0	0.6136795288280066						1.4826	0.15206153846153844	0.0	0.0	0.3870442152188983	4.0	1.3333333333333333	1.0	0.0	1.1316809419557994	4.0	0.75	0.375	0.0	0.879686696620181	4.0	0.7435897435897436	0.0	0.0	0.9792034549611367	4.0	0.3076923076923077	0.0	0.0	0.7997975452327445	36	16	1	0.10661268556005397	8	17.0	35	13	35.0	4.0	1.0256410256410255	1.0	0.0	1.0634397883922544	1.5526475085202969	0.4124614337226657	0.3535533905932738	0.0	0.4104189562822412						1.0	0.6084656084656085	0.42857142857142855	0.14285714285714285	0.3297398354286226	4.0	0.7264957264957264	0.3333333333333333	0.0	0.9180509320675763	2.4107142857142856	0.3342490842490842	0.125	0.0	0.5448307748960626	21	0.18
1	1.0000000000000142	0.4007359243942552	0.5	-3.785714561038994e-08	0.2104571573178113	1.6577427265048887	0.32816113113087897	0.0	0.0	0.4378083770886563	4.0	0.02857142857142857						2.4999999999999996	0.07624831309041835	0.0	0.0	0.18226779236559823	8.683941469763583	0.41595441595441596	1.0868117449255983e-33	-9.39095868672315e-16	1.5163245225368116	4.0	0.29409575621219486	0.0	0.0	0.807643082300294	4.0	0.29191321499013806	0.0	0.0	0.8044913411748925	0.25	4.0	0.41025641025641024	0.0	0.0	0.8801300357856433						2.9652	0.15206153846153844	0.0	0.0	0.5686278686060556	6.0	1.4102564102564104	1.0	0.0	1.29203936549832	4.0	0.7407407407407407	0.4444444444444444	0.0	0.884614479134738	4.0	0.7435897435897436	0.0	0.0	0.9656726239953904	4.0	0.28205128205128205	0.0	0.0	0.7930194777165229	36	14	1	0.12010796221322537	9	17.0	35	15	35.0	6.0	1.1282051282051282	1.0	0.0	1.281025230440697	2.242270674512285	0.43727329282205407	0.44095855184409843	0.0	0.48027165696038465						1.0	0.6015625	0.4375	0.0625	0.3371836314818466	4.0	0.7106227106227105	0.2857142857142857	0.0	0.9091297165720829	5.027777777777778	0.41595441595441596	0.19444444444444445	0.0	0.8823886775363118	21	0.19
