	attr_conc.max	attr_conc.mean	attr_conc.median	attr_conc.min	attr_conc.sd	attr_ent.max	attr_ent.mean	attr_ent.median	attr_ent.min	attr_ent.sd	attr_to_inst	cat_to_num	cor.max	cor.mean	cor.median	cor.min	cor.sd	cov.max	cov.mean	cov.median	cov.min	cov.sd	eigenvalues.max	eigenvalues.mean	eigenvalues.median	eigenvalues.min	eigenvalues.sd	g_mean.max	g_mean.mean	g_mean.median	g_mean.min	g_mean.sd	h_mean.max	h_mean.mean	h_mean.median	h_mean.min	h_mean.sd	inst_to_attr	iq_range.max	iq_range.mean	iq_range.median	iq_range.min	iq_range.sd	kurtosis.max	kurtosis.mean	kurtosis.median	kurtosis.min	kurtosis.sd	mad.max	mad.mean	mad.median	mad.min	mad.sd	max.max	max.mean	max.median	max.min	max.sd	mean.max	mean.mean	mean.median	mean.min	mean.sd	median.max	median.mean	median.median	median.min	median.sd	min.max	min.mean	min.median	min.min	min.sd	nr_attr	nr_bin	nr_cat	nr_cor_attr	nr_inst	nr_norm	nr_num	nr_outliers	num_to_cat	range.max	range.mean	range.median	range.min	range.sd	sd.max	sd.mean	sd.median	sd.min	sd.sd	skewness.max	skewness.mean	skewness.median	skewness.min	skewness.sd	sparsity.max	sparsity.mean	sparsity.median	sparsity.min	sparsity.sd	t_mean.max	t_mean.mean	t_mean.median	t_mean.min	t_mean.sd	var.max	var.mean	var.median	var.min	var.sd	id_experimento	reducao
1						5.087462841250341	5.087462841250341	5.087462841250341	5.087462841250341		0.029411764705882353		0.030303030303030366	0.030303030303030342	0.030303030303030335	0.030303030303030314	1.1653491098546927e-17	0.0008912655971479507	0.0008912655971479505	0.0008912655971479505	0.00089126559714795	1.1175700191704681e-19	0.03030303030303032	0.029411764705882328	0.03030303030303028	-3.0357660829594124e-17	0.0051969268225002686						0.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0	27.17387543252597	27.17387543252596	27.173875432525957	27.17387543252595	8.251126384207486e-15	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.029411764705882353	0.029411764705882353	0.029411764705882353	0.029411764705882353	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0	1	0.0	34	0.0	0	34	0.0	1.0	1.0	1.0	1.0	0.0	0.17149858514250882	0.17149858514250874	0.17149858514250876	0.1714985851425087	5.021172554038838e-17	5.326544291484984	5.326544291484983	5.326544291484982	5.32654429148498	1.0371689429453962e-15	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.02941176470588235	0.02941176470588233	0.029411764705882328	0.029411764705882307	1.3259489406352272e-17	13	0.1
1						5.20945336562895	5.20945336562895	5.20945336562895	5.20945336562895		0.02702702702702703		0.02777777777777783	0.02777777777777779	0.027777777777777787	0.027777777777777752	1.3662870050318652e-17	0.0007507507507507516	0.0007507507507507506	0.0007507507507507507	0.0007507507507507492	4.349425775339562e-19	0.027777777777777807	0.02702702702702701	0.02777777777777776	-1.5097515251865835e-17	0.004566638536259924						0.0	0.0	0.0	0.0	0.0	37.0	0.0	0.0	0.0	0.0	0.0	30.15997078159242	30.159970781592417	30.15997078159242	30.159970781592406	4.918509370406617e-15	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.02702702702702703	0.02702702702702702	0.02702702702702703	0.02702702702702703	7.034607306733603e-18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0	1	0.0	37	0.0	0	37	0.0	1.0	1.0	1.0	1.0	0.0	0.1643989873053573	0.1643989873053572	0.16439898730535726	0.1643989873053572	5.703228632848239e-17	5.598452000128384	5.5984520001283835	5.598452000128383	5.598452000128382	1.0467283057891834e-15	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.02702702702702703	0.027027027027027008	0.027027027027027015	0.027027027027027004	1.1608110248425152e-17	13	0.11
1						5.321928094887363	5.321928094887363	5.321928094887363	5.321928094887363		0.025		0.025641025641025647	0.02564102564102564	0.025641025641025637	0.02564102564102563	5.23562256014406e-18	0.0006410256410256409	0.0006410256410256407	0.0006410256410256407	0.0006410256410256405	1.4378110862260822e-19	0.02564102564102567	0.024999999999999984	0.025641025641025626	-1.5165113892428188e-89	0.004054202128420997						0.0	0.0	0.0	0.0	0.0	40.0	0.0	0.0	0.0	0.0	0.0	33.14812500000001	33.14812500000001	33.14812500000001	33.14812500000001	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.025	0.025	0.025	0.025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0	1	0.0	40	0.0	0	40	0.0	1.0	1.0	1.0	1.0	0.0	0.15811388300841897	0.15811388300841894	0.15811388300841894	0.15811388300841892	2.1773264873091063e-17	5.858119365461923	5.858119365461922	5.858119365461922	5.858119365461922	5.688894823844035e-16	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.024999999999999998	0.02499999999999999	0.02499999999999999	0.024999999999999984	4.969045133969513e-18	13	0.12
1						5.459431618637298	5.459431618637298	5.459431618637298	5.459431618637298		0.022727272727272728		0.023255813953488406	0.02325581395348836	0.02325581395348836	0.023255813953488334	1.25352075056114e-17	0.0005285412262156454	0.0005285412262156445	0.0005285412262156444	0.0005285412262156438	3.018960735801654e-19	0.023255813953488406	0.02272727272727272	0.023255813953488365	-8.673617379884035e-18	0.0035059458671832977						0.0	0.0	0.0	0.0	0.0	44.0	0.0	0.0	0.0	0.0	0.0	37.1348140495868	37.134814049586794	37.134814049586794	37.13481404958679	4.723161290444392e-15	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.022727272727272728	0.022727272727272728	0.022727272727272728	0.022727272727272728	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0	1	0.0	44	0.0	0	44	0.0	1.0	1.0	1.0	1.0	0.0	0.15075567228888181	0.15075567228888176	0.1507556722888818	0.15075567228888176	3.515932721036853e-17	6.187835094402741	6.1878350944027405	6.187835094402741	6.1878350944027405	8.566353354140903e-16	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.022727272727272728	0.02272727272727272	0.02272727272727272	0.02272727272727271	5.0748117573581e-18	13	0.13
1						5.554588851677637	5.554588851677637	5.554588851677637	5.554588851677637		0.02127659574468085		0.02173913043478266	0.021739130434782622	0.021739130434782615	0.02173913043478259	1.725349918961668e-17	0.0004625346901017589	0.0004625346901017579	0.0004625346901017578	0.0004625346901017574	4.001911320160938e-19	0.02173913043478265	0.02127659574468085	0.021739130434782615	-1.734723475976807e-17	0.003170978076041189						0.0	0.0	0.0	0.0	0.0	47.0	0.0	0.0	0.0	0.0	0.0	40.12630149388864	40.12630149388863	40.12630149388864	40.12630149388862	6.285828653527281e-15	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.02127659574468085	0.021276595744680857	0.02127659574468085	0.02127659574468085	7.013911153301922e-18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0	1	0.0	47	0.0	0	47	0.0	1.0	1.0	1.0	1.0	0.0	0.14586499149789459	0.1458649914978946	0.14586499149789456	0.14586499149789456	4.464211925993317e-17	6.424266646822166	6.424266646822164	6.424266646822166	6.424266646822163	1.4285478163178615e-15	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.02127659574468086	0.021276595744680857	0.021276595744680854	0.02127659574468085	3.828030145420842e-18	13	0.14
1						5.643856189774724	5.643856189774724	5.643856189774724	5.643856189774724		0.02		0.020408163265306187	0.020408163265306138	0.020408163265306135	0.020408163265306117	9.738636221557609e-18	0.0004081632653061228	0.00040816326530612225	0.0004081632653061223	0.0004081632653061217	2.1348727433364517e-19	0.020408163265306152	0.019999999999999976	0.020408163265306097	-6.938893903907228e-18	0.002886150127292028						0.0	0.0	0.0	0.0	0.0	50.0	0.0	0.0	0.0	0.0	0.0	43.118800000000036	43.11880000000003	43.118800000000014	43.118800000000014	1.1119436698492558e-14	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.02	0.02	0.02	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0	1	0.0	50	0.0	0	50	0.0	1.0	1.0	1.0	1.0	0.0	0.1414213562373095	0.1414213562373094	0.14142135623730942	0.14142135623730934	5.621474269713214e-17	6.652460597403041	6.6524605974030395	6.6524605974030395	6.6524605974030395	1.0463009825193686e-15	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.019999999999999997	0.019999999999999976	0.019999999999999976	0.019999999999999955	1.305695618323861e-17	13	0.15
1						5.75488750216347	5.75488750216347	5.75488750216347	5.75488750216347		0.018518518518518517		0.01886792452830192	0.018867924528301907	0.018867924528301907	0.018867924528301872	7.141553746709658e-18	0.00034940600978336864	0.0003494060097833686	0.0003494060097833686	0.0003494060097833677	1.3166809262146564e-19	0.018867924528301928	0.018518518518518507	0.01886792452830188	-1.8214596497756474e-17	0.0025675993110934794						0.0	0.0	0.0	0.0	0.0	54.0	0.0	0.0	0.0	0.0	0.0	47.110082304526784	47.11008230452676	47.110082304526784	47.11008230452676	2.0356208825844187e-14	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.018518518518518517	0.018518518518518514	0.018518518518518517	0.018518518518518517	3.50202463335919e-18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0	1	0.0	54	0.0	0	54	0.0	1.0	1.0	1.0	1.0	0.0	0.13608276348795434	0.13608276348795437	0.1360827634879543	0.13608276348795428	5.3238965667306227e-17	6.945261040237079	6.945261040237079	6.945261040237076	6.945261040237076	2.4400137723412923e-15	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.018518518518518517	0.01851851851851851	0.018518518518518514	0.018518518518518507	4.644982897951581e-18	13	0.16
1						5.832890014164742	5.832890014164742	5.832890014164742	5.832890014164742		0.017543859649122806		0.017857142857142867	0.017857142857142842	0.017857142857142846	0.01785714285714283	9.15624471116879e-18	0.00031328320802005016	0.0003132832080200498	0.00031328320802004984	0.0003132832080200495	1.6670314733510688e-19	0.017857142857142887	0.017543859649122803	0.017857142857142853	1.4764207786787663e-17	0.002365236351901861						0.0	0.0	0.0	0.0	0.0	57.0	0.0	0.0	0.0	0.0	0.0	50.10433979686056	50.10433979686056	50.10433979686056	50.10433979686054	7.59602135964384e-15	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.017543859649122806	0.017543859649122806	0.017543859649122806	0.017543859649122806	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0	1	0.0	57	0.0	0	57	0.0	1.0	1.0	1.0	1.0	0.0	0.13245323570650439	0.13245323570650436	0.13245323570650436	0.13245323570650436	7.417989609027187e-18	7.157122210105849	7.157122210105848	7.157122210105848	7.157122210105848	9.787249500081069e-16	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.017543859649122806	0.017543859649122803	0.017543859649122803	0.017543859649122803	9.272487011283983e-19	13	0.17
1						5.906890595608517	5.906890595608517	5.906890595608517	5.906890595608517		0.016666666666666666		0.016949152542372937	0.016949152542372888	0.016949152542372888	0.016949152542372854	1.88122075659217e-17	0.0002824858757062162	0.0002824858757062152	0.0002824858757062151	0.0002824858757062146	4.2120729832695083e-19	0.016949152542372947	0.016666666666666687	0.0169491525423729	-1.3877787807814457e-17	0.00218812618429798						0.0	0.0	0.0	0.0	0.0	60.0	0.0	0.0	0.0	0.0	0.0	53.09916666666667	53.09916666666659	53.0991666666666	53.099166666666584	2.845180124341746e-14	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.016666666666666666	0.016666666666666666	0.016666666666666666	0.016666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0	1	0.0	60	0.0	0	60	0.0	1.0	1.0	1.0	1.0	0.0	0.12909944487358072	0.12909944487358066	0.12909944487358063	0.12909944487358055	5.574587173370107e-17	7.362971672623211	7.362971672623204	7.362971672623205	7.362971672623205	3.1793263446652964e-15	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.016666666666666708	0.016666666666666687	0.016666666666666687	0.016666666666666666	1.2902662132600745e-17	13	0.18
1						6.0	6.0	6.0	6.0		0.015625		0.015873015873015872	0.015873015873015872	0.015873015873015872	0.015873015873015872	0.0	0.000248015873015873	0.000248015873015873	0.000248015873015873	0.000248015873015873	0.0	0.015873015873015896	0.015624999999999998	0.015873015873015872	6.938893903907228e-18	0.001984126984126983						0.0	0.0	0.0	0.0	0.0	64.0	0.0	0.0	0.0	0.0	0.0	57.093017578125	57.093017578125	57.093017578125	57.093017578125	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.015625	0.015625	0.015625	0.015625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0	1	0.0	64	0.0	0	64	0.0	1.0	1.0	1.0	1.0	0.0	0.125	0.125	0.125	0.125	0.0	7.62890625	7.62890625	7.62890625	7.62890625	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.015625	0.015625	0.015625	0.015625	0.0	13	0.19
